"","day","mod_gpp_sim","mod_gpp_unc95_sim","doy","year","obs_gpp","obs_gpp_unc","obs_lai","obs_lai_unc","obs_nee","obs_nee_unc","date"
"42",5754,0.978014545842012,1.01030810224765,294,2015,1.166067341,1.670894829,3.19,0.71,1.420104498,0.59680318,2015-10-02
"43",5761,1.35449590300576,1.41769032599677,301,2015,1.559098886,1.279579955,0.3,0.25,1.540707618,0.601849895,2015-10-09
"44",5768,1.16313835835189,1.24130718446837,308,2015,0.661396216,1.489630979,0.9,0.25,4.107251081,0.659315524,2015-10-16
"45",5775,0.648634560617281,0.709519788703264,315,2015,0.422064387,1.53293376,0.77,0.25,3.940171903,0.58,2015-10-23
"46",5782,0.249847825594899,0.279956421726363,322,2015,0.204940546,1.556267799,0.67,0.25,3.304671177,0.58565463,2015-10-30
"47",5789,0.135926031820926,0.154764634236371,329,2015,0.33277211,1.387973772,NA,-9999,2.25009052,0.58,2015-11-06
"48",5796,0.0875075189393373,0.102321442336497,336,2015,0.344120398,1.365496038,NA,-9999,2.516449835,0.588688341,2015-11-13
"49",5803,0.0662969282152647,0.0786195879035377,343,2015,0.358031874,1.555650546,NA,-9999,2.500684235,0.621327705,2015-11-20
"50",5810,0.0381699945359616,0.0464118084043986,350,2015,0.335775798,1.54054516,NA,-9999,2.915070165,0.58565463,2015-11-27
"51",5817,0.014311845983299,0.0175915783704091,357,2015,0.353828477,1.416483646,NA,-9999,3.479316129,0.58,2015-12-04
"52",5824,0.0232700146550667,0.029089247982876,365,2015,0.282505222,1.521386042,NA,-9999,1.818464905,0.59634885,2015-12-11
"53",5831,0.00784097232441811,0.00986199155265076,7,2016,0.084421675,1.47376292,NA,-9999,0.435684257,0.588688341,2015-12-18
"54",5838,0.0134273457167481,0.0170720763946914,14,2016,NA,2.116306013,NA,-9999,NA,0.911057024,2015-12-25
"55",5845,0.0133836749380157,0.0172326424551355,21,2016,NA,2.116306013,NA,-9999,NA,0.911057024,2016-01-01
"56",5852,0.011599065780888,0.0151816050364214,28,2016,NA,2.116306013,NA,-9999,NA,0.911057024,2016-01-08
"57",5859,0.00711100452532641,0.00944462783229517,35,2016,NA,2.116306013,0.3,0.25,NA,0.911057024,2016-01-15
"58",5866,0.00949701886537152,0.0127419117072804,42,2016,NA,2.116306013,0.46,0.25,NA,0.911057024,2016-01-22
"59",5873,0.00990654335631833,0.0134092450437048,49,2016,0.120081312,1.512009082,0.33,0.25,0.489861321,0.682883025,2016-01-29
"60",5880,0.0122094982369793,0.0164200653735801,56,2016,0.436510691,1.519670563,NA,-9999,1.841326422,0.58,2016-02-05
"61",5887,0.0187230849881668,0.0249192046225116,63,2016,0.501912112,1.506531778,NA,-9999,1.172961402,0.601849895,2016-02-12
"62",5894,0.0227522566060346,0.0296545837035261,70,2016,0.492499099,1.515888662,0.47,0.25,0.718253318,0.678486389,2016-02-19
"63",5901,0.0287974810666718,0.0347255387679412,77,2016,NA,2.116306013,0.51,0.25,1.682397413,0.639287676,2016-02-26
"64",5908,0.0472537349209605,0.0563103638204401,84,2016,NA,2.116306013,0.64,0.25,1.460050221,0.627471602,2016-03-04
"65",5915,0.0936328336820109,0.109964299210242,91,2016,2.571360929,1.506531778,0.82,0.25,0.959624289,0.601849895,2016-03-11
"66",5922,0.358438045325696,0.410758146524317,98,2016,0.970638163,1.515888662,0.4,0.25,1.003766018,0.698989232,2016-03-18
"67",5929,0.796839699645564,0.877050984496176,105,2016,1.43011427,1.431400417,1.06,0.34,2.635858955,0.696029708,2016-03-25
"68",5936,1.62084538705418,1.72176253583639,112,2016,1.953270529,1.366425852,0.58,0.25,1.932807597,0.622370774,2016-04-01
"69",5943,2.73229967041131,2.81792024959745,119,2016,2.300402258,1.357896839,1.39,0.29,0.911796182,0.611954787,2016-04-08
"70",5950,5.66182925678272,5.765876175879,126,2016,3.673625452,1.363358847,1.5,0.31,0.433636108,0.640004734,2016-04-15
"71",5957,8.12047674720051,8.23534711703247,133,2016,7.168868126,1.458159378,3.1,0.78,-0.709355692,0.633130352,2016-04-22
"72",5964,8.55729745780233,8.66368904711782,140,2016,8.299653301,1.176040794,4.83,1.01,-3.175795175,0.58565463,2016-04-29
"73",5971,9.71127175662367,9.78930978455597,147,2016,9.310989856,1.386640976,NA,-9999,-3.477976686,0.663604536,2016-05-06
"74",5978,10.017610298568,10.118048476718,154,2016,10.79049333,1.477699834,NA,-9999,-7.387630999,0.719007263,2016-05-13
"75",5985,12.8298918946906,12.9020281894934,161,2016,13.35207006,1.356818628,4.5,0.91,-7.906629497,0.670914304,2016-05-20
"76",5992,11.9436822618394,12.0157618116537,168,2016,12.02566978,1.405382531,5.8,1.39,-5.490188875,0.654857244,2016-05-27
"77",5999,15.2055494052306,15.2849797602113,175,2016,14.18849324,1.402270242,NA,-9999,-7.157633007,0.685497183,2016-06-03
"78",6006,15.9676216640644,16.0477217669628,182,2016,14.21895893,1.416228068,6.8,1.36,-8.484967091,0.685197326,2016-06-10
"79",6013,15.1753166654759,15.2959534712198,189,2016,11.84576943,1.41810926,5.23,2.03,-7.607529432,0.664438571,2016-06-17
"80",6020,14.8884925943525,14.9606176554543,196,2016,12.28484783,1.404014712,6.07,1.27,-7.822395138,0.665859391,2016-06-24
"81",6027,14.7643803392105,14.8409562274883,203,2016,12.29622288,1.410597908,NA,-9999,-7.144528358,0.634193637,2016-07-01
"82",6034,13.7475135181185,13.8155582762309,210,2016,10.61709853,1.495869337,5.85,1.41,-5.802114947,0.715033242,2016-07-08
"83",6041,10.4656806208678,10.5207772544359,217,2016,NA,2.116306013,2.53,0.9,NA,0.911057024,2016-07-15
"84",6048,13.5095667921123,13.5815688299882,224,2016,9.136868963,1.422578881,5.14,1.05,-5.153691672,0.703877494,2016-07-22
"85",6055,14.20135352519,14.2827542850142,231,2016,10.31266596,1.33914502,5.5,1.12,-5.85902209,0.642613852,2016-07-29
"86",6062,12.9282370523775,12.99050450695,238,2016,8.613378103,1.484079699,5.17,1.07,-4.391606939,0.724991186,2016-08-05
"87",6069,10.8410135705224,10.9241680529009,245,2016,6.951453521,1.35100663,5.19,1.11,-3.265877331,0.696182045,2016-08-12
"88",6076,9.3671554607542,9.55888252563039,252,2016,6.126653703,1.320092015,4.69,0.96,-2.86667083,0.660891355,2016-08-19
"89",6083,9.70000307920573,9.75866604848457,259,2016,5.881665026,1.394358845,4.64,1.04,-1.566655603,0.693576736,2016-08-26
"90",6090,5.80167684875359,5.86376483487871,266,2016,NA,2.116306013,4.68,0.97,NA,0.911057024,2016-09-02
"91",6097,6.63092030615181,6.7051506664469,273,2016,6.85188878,1.314467516,3.83,1.35,-3.858012644,0.664245999,2016-09-09
"92",6104,3.34074522583119,3.39293657982095,280,2016,5.787586221,1.495869337,4.27,0.98,-3.170071068,0.715033242,2016-09-16
"93",6111,2.23348417361818,2.28090200279314,287,2016,1.287442083,1.279525547,NA,-9999,0.605165576,0.645179025,2016-09-23
"94",6118,2.06299303869563,2.13383092143171,294,2016,3.149635066,1.32670119,NA,-9999,-0.566697792,0.670964162,2016-09-30
"95",6125,0.957006663822607,1.00375240340002,301,2016,1.169812702,1.485535938,1.35,0.28,1.390487916,0.656298806,2016-10-07
"96",6132,0.737305765565833,0.787862547613374,308,2016,0.821573758,1.286494801,NA,-9999,1.805956306,0.59680318,2016-10-14
"97",6139,0.317684130685144,0.347130303984405,315,2016,0.392813405,1.529190475,0.7,0.25,2.230708648,0.591255182,2016-10-21
"98",6146,0.266708145457744,0.298260993888488,322,2016,0.409860221,1.386599158,NA,-9999,2.140665262,0.657255135,2016-10-28
"99",6153,0.169060326186013,0.192962582611608,329,2016,0.434783386,1.44940274,0.34,0.25,2.780717682,0.70771096,2016-11-04
"100",6160,0.114367023613331,0.13423997607207,336,2016,0.439376614,1.367555289,NA,-9999,1.953609312,0.659089008,2016-11-11
"101",6167,0.0900862805390161,0.106956999925472,343,2016,NA,2.116306013,NA,-9999,NA,0.911057024,2016-11-18
"102",6174,0.0274042310848495,0.0333605596538806,350,2016,NA,2.116306013,NA,-9999,NA,0.911057024,2016-11-25
"103",6181,0.031345228222221,0.0385982798026783,357,2016,0.263751368,1.478868024,NA,-9999,1.407615104,0.69979502,2016-12-02
"104",6188,0.0187137107150344,0.0234043596170431,366,2016,NA,-9999,NA,-9999,NA,3.145764419,2016-12-09
"105",6195,0.0159527793291126,0.020135788204137,7,2017,0.965231691,1.279152727,NA,-9999,1.271707086,0.689428678,2016-12-16
"106",6202,0.0110172501351019,0.0140160355911553,14,2017,0.657047084,1.350702344,NA,-9999,1.150396336,0.58,2016-12-23
"107",6209,0.0172252364521193,0.0222629524641254,21,2017,1.462916318,1.311878168,NA,-9999,1.384370528,0.71126967,2016-12-30
"108",6216,0.0168889255667047,0.0221107848122986,28,2017,0.769311763,1.323795679,NA,-9999,2.846992261,0.67540748,2017-01-06
"109",6223,0.00967448125574228,0.0128888974671846,35,2017,0.396256915,1.514643806,0.7,0.25,2.273377564,0.591255182,2017-01-13
"110",6230,0.0045317200121335,0.00610585604623065,42,2017,NA,2.116306013,0.57,0.25,1.547695997,0.674955896,2017-01-20
"111",6237,0.0145740743670873,0.0197786406002439,49,2017,NA,2.116306013,0.37,0.25,1.463267502,0.633340683,2017-01-27
"112",6244,0.00987110296951955,0.0132949424368216,56,2017,0.549254893,1.51910041,0.51,0.25,1.682760794,0.58565463,2017-02-03
"113",6251,0.0162196922982342,0.0216008152064596,63,2017,NA,2.116306013,NA,-9999,1.675694269,0.614159114,2017-02-10
"114",6258,0.0186007725636203,0.0242138135287629,70,2017,NA,2.116306013,0.31,0.25,1.751322051,0.58,2017-02-17
"115",6265,0.0355563417465627,0.0427132129407557,77,2017,NA,2.116306013,0.5,0.25,2.093337331,0.656074029,2017-02-24
"116",6272,0.0499064209176175,0.0586139688433404,84,2017,NA,2.116306013,0.5,0.25,2.36843796,0.622197128,2017-03-03
"117",6279,0.187044343361326,0.217867587000515,91,2017,1.330575795,1.413412942,NA,-9999,2.430235979,0.743340374,2017-03-10
"118",6286,0.303323577946341,0.344762583054972,98,2017,1.851675707,1.487040789,0.8,0.25,1.046940389,0.639432298,2017-03-17
"119",6293,0.734114362163083,0.804969651245255,105,2017,2.453340165,1.404713114,0.81,0.25,0.970666261,0.644541721,2017-03-24
"120",6300,1.46550430288073,1.55348257108359,112,2017,2.056197627,1.395058383,0.68,0.25,0.70930815,0.591255182,2017-03-31
"121",6307,3.06488680452912,3.16218928259707,119,2017,2.828937452,1.368423247,1.03,0.25,0.601543029,0.58,2017-04-07
"122",6314,4.12969919812099,4.20253820003997,126,2017,2.286959433,1.392197363,1.1,0.25,1.764775064,0.58565463,2017-04-14
"123",6321,7.08570138882195,7.16629492427482,133,2017,5.172766514,1.39640985,NA,-9999,0.301894812,0.727465337,2017-04-21
"124",6328,9.15222412913706,9.23991447346936,140,2017,9.551184305,1.709067615,2.18,0.49,-2.892528972,0.763331498,2017-04-28
"125",6335,11.8926863604181,11.9832506013157,147,2017,11.5274408,1.431638135,4.81,1.05,-4.467702291,0.628202147,2017-05-05
"126",6342,11.6061002370311,11.68834918225,154,2017,13.86403823,1.500464659,5.15,1.04,-5.785892387,0.656729009,2017-05-12
"127",6349,13.9095168628122,13.9886987438848,161,2017,14.54239288,1.55725611,4.97,1.11,-8.600842191,0.695671237,2017-05-19
"128",6356,14.4561433832602,14.5345039589433,168,2017,14.81332104,1.431143223,5.7,1.14,-8.651015736,0.647692322,2017-05-26
"129",6363,15.3635439744733,15.4616156822081,175,2017,NA,2.116306013,NA,-9999,-10.64402485,0.694785576,2017-06-02
"130",6370,9.98192432671848,10.0177324851875,182,2017,10.96968946,1.580487743,6.17,1.24,-4.606442476,0.58565463,2017-06-09
"131",6377,16.3448375800372,16.4241365868827,189,2017,17.84495646,1.552513231,NA,-9999,-10.57706169,0.632702108,2017-06-16
"132",6384,13.7282423710934,13.7900497845576,196,2017,13.54281574,1.437751446,2.2,0.44,-8.572372952,0.639551208,2017-06-23
"133",6391,15.6570806980171,15.7301643588551,203,2017,NA,2.116306013,NA,-9999,-10.524188,0.703278761,2017-06-30
"134",6398,10.090798539164,10.13429787221,210,2017,11.22944853,1.57722749,NA,-9999,-6.351812449,0.652502182,2017-07-07
"135",6405,14.282209988838,14.3490911626908,217,2017,14.04770679,1.329641098,NA,-9999,-7.78679493,0.58,2017-07-14
"136",6412,12.5358479479506,12.5908720134856,224,2017,15.19043836,1.429426428,5.57,1.35,-6.458485576,0.637471311,2017-07-21
"137",6419,13.3779661568341,13.447792769126,231,2017,13.22857003,1.529312508,4.45,1.01,-7.450455874,0.7072007,2017-07-28
"138",6426,13.4173038855934,13.4957791221863,238,2017,14.24385857,1.512009082,5.7,1.14,-9.194470327,0.668251275,2017-08-04
"139",6433,11.6978491019058,11.7819479045879,245,2017,9.187128154,1.246905131,5.73,1.19,-5.983392204,0.645097548,2017-08-11
"140",6440,8.99978556780435,9.06136301354828,252,2017,8.265497067,1.615697597,5.19,1.74,-4.287905265,0.698641753,2017-08-18
