"","date","year","doy","mod_gpp","mod_lai","mod_reco","sm1","sm2","sm3","minT","maxT","airT","co2","swr","vpd","precip","windspd"
"1","2000-05-05",2000,126,5.22080895792169,1.32310056903217,3.47838604979291,43.8288988095238,37.5476488095238,46.6119642857143,11.5914285714286,18.4685714285714,14.7216369047619,381.541080357143,18.0578859428571,0.500890178571429,1.24007936507937e-05,2.32383630952381
"2","2000-05-12",2000,133,7.2404958562667,1.95233481617216,4.04105650151719,42.5463601190476,36.8399107142857,46.5812797619048,13.2028571428571,20.61,17.1409226190476,371.956491071429,23.3228118857143,0.770483630952381,1.81878306878307e-06,2.70709226190476
"3","2000-05-19",2000,140,8.6157739110378,2.54961718972999,4.21361945469446,39.4023273809524,31.5913988095238,46.4126488095238,10.7157142857143,19.3285714285714,15.2628571428571,363.724139880952,22.5896364,0.902919047619048,9.92063492063492e-06,2.86535714285714
"4","2000-05-26",2000,147,9.20217931974921,3.02413335334016,4.06422741337738,41.4842976190476,33.2759523809524,46.2145238095238,7.11857142857143,13.9614285714286,10.621369047619,369.83755952381,15.8910711428571,0.288480654761905,2.9265873015873e-05,3.11779761904762
"5","2000-06-02",2000,154,11.2454247035892,3.3757596856033,4.58353459501034,42.5365059523809,35.0094940476191,46.2293452380952,7.97285714285714,15.7271428571429,11.982380952381,369.506494047619,18.8048648571429,0.504613095238095,1.62037037037037e-05,3.41841666666667
"6","2000-06-09",2000,161,12.1025962245654,3.67124833708942,5.01388795116483,43.370875,37.611994047619,46.6693363095238,11.8085714285714,19.5328571428571,15.338005952381,367.154205357143,18.9709187142857,0.425421130952381,6.77910052910053e-05,2.6453005952381
"7","2000-06-16",2000,168,13.3224267384194,3.95060353264755,5.35135485090735,42.5823303571429,38.7833928571429,46.6819047619048,13.0028571428571,20.3742857142857,16.7831547619048,363.506636904762,21.1482218571429,0.612158333333333,2.24867724867725e-05,2.69431845238095
"8","2000-06-23",2000,175,12.3563651918782,4.21970233434347,5.34828428893398,38.4418571428571,31.2477678571429,46.3582142857143,15.3771428571429,23.99,20.1100595238095,352.298151785714,25.3199044285714,1.44665744047619,1.65343915343915e-06,2.7448244047619
"9","2000-06-30",2000,182,12.548533267087,4.45075778162976,4.80151306175666,33.3992113095238,23.8948511904762,45.6137797619048,7.80857142857143,13.5528571428571,10.5216369047619,365.369979166667,18.1372407428571,0.389969345238095,8.5978835978836e-06,3.23371726190476
"10","2000-07-07",2000,189,10.552900937008,4.64041477609511,4.65230964967196,37.6795446428571,30.8740773809524,46.1633333333333,12.0171428571429,18.3628571428571,14.8309226190476,363.566068452381,13.4429829428571,0.260755952380952,6.63029100529101e-05,2.94841071428571
"11","2000-07-14",2000,196,9.75673202526448,4.75756378385106,4.23515069566542,42.564505952381,39.6879464285714,46.6608630952381,8.87,13.6457142857143,11.17875,361.887770833333,12.4096654285714,0.21631755952381,4.31547619047619e-05,3.8365625
"12","2000-07-21",2000,203,10.6733498438097,4.81247760507462,4.47392884046641,41.2404166666667,38.305744047619,46.5739880952381,9.16,14.5442857142857,11.7180952380952,360.682077380952,13.7250455142857,0.275575892857143,3.47222222222222e-06,3.10621428571429
"13","2000-07-28",2000,210,10.7257956239566,4.82887722202494,4.6823975790983,37.1480357142857,29.4598511904762,46.1044047619048,12.0328571428571,17.7342857142857,14.6983333333333,365.424913690476,13.6206655714286,0.293533035714286,1.12433862433862e-05,2.78936011904762
"14","2000-08-04",2000,217,13.0642346986836,4.80155583047838,5.29263488356604,33.886755952381,22.8727678571429,45.3408035714286,12.5014285714286,19.9,16.035744047619,363.858755952381,17.9633949428571,0.513909226190476,1.5542328042328e-05,3.05921428571429
"15","2000-08-11",2000,224,12.2873084059933,4.75238601642908,5.15062777674323,30.1286369047619,19.3176785714286,44.5941964285714,13.4928571428571,19.8014285714286,16.4205952380952,362.994017857143,16.7542032857143,0.510772916666667,8.92857142857143e-06,2.50365773809524
"16","2000-08-18",2000,231,12.3595968898879,4.64314304214756,5.39549958468528,26.1669097222222,16.4239583333333,42.6083333333333,14.7497142857143,24.8022857142857,20.009875,361.214291666667,19.2542883428571,0.906251785714286,4.2989417989418e-06,1.93325595238095
