"","week","AverageWeeklyMeanT","year","WeeklyMeanT","tempAnomaly","Drought_Status"
"617",20,11.6772723214286,"2018",12.7472857142857,1.07001339285714,"2018"
"618",20,11.6772723214286,"2013",12.4944285714286,0.81715625,"1989-2020"
"619",20,11.6772723214286,"2010",7.61328571428571,-4.06398660714286,"2010"
"620",20,11.6772723214286,"2017",15.31,3.63272767857143,"1989-2020"
"621",20,11.6772723214286,"1998",12.6244285714286,0.947156250000001,"1989-2020"
"622",20,11.6772723214286,"1991",7.15628571428571,-4.52098660714286,"1989-2020"
"623",20,11.6772723214286,"2020",10.0017142857143,-1.67555803571429,"1989-2020"
"624",20,11.6772723214286,"2019",10.1164285714286,-1.56084375,"2019"
"625",20,11.6772723214286,"2005",8.77142857142857,-2.90584375,"1989-2020"
"626",20,11.6772723214286,"1999",10.757,-0.920272321428572,"1989-2020"
"627",20,11.6772723214286,"2007",11.4798571428571,-0.197415178571427,"1989-2020"
"628",20,11.6772723214286,"2016",9.33314285714286,-2.34412946428571,"1989-2020"
"629",20,11.6772723214286,"2015",10.3635714285714,-1.31370089285714,"1989-2020"
"630",20,11.6772723214286,"1994",13.2951428571429,1.61787053571429,"1989-2020"
"631",20,11.6772723214286,"2000",14.2805714285714,2.60329910714286,"1989-2020"
"632",20,11.6772723214286,"1996",9.99985714285714,-1.67741517857143,"1989-2020"
"633",20,11.6772723214286,"2011",12.5775714285714,0.900299107142857,"1989-2020"
"634",20,11.6772723214286,"2006",12.3038571428571,0.626584821428571,"1989-2020"
"635",20,11.6772723214286,"1992",14.153,2.47572767857143,"1989-2020"
"636",20,11.6772723214286,"1993",14.4107142857143,2.73344196428572,"1989-2020"
"637",20,11.6772723214286,"2008",12.698,1.02072767857143,"1989-2020"
"638",20,11.6772723214286,"2009",13.4878571428571,1.81058482142857,"1989-2020"
"639",20,11.6772723214286,"1995",7.55542857142857,-4.12184375,"1989-2020"
"640",21,12.9821517857143,"2003",13.6684285714286,0.686276785714284,"2003"
"641",21,12.9821517857143,"2004",8.374,-4.60815178571429,"1989-2020"
"642",21,12.9821517857143,"1998",9.69742857142857,-3.28472321428572,"1989-2020"
"643",21,12.9821517857143,"2014",15.7935714285714,2.81141964285714,"1989-2020"
"644",21,12.9821517857143,"1989",15.411,2.42884821428571,"1989-2020"
"645",21,12.9821517857143,"2017",14.6188571428571,1.63670535714286,"1989-2020"
"646",21,12.9821517857143,"1996",11.0864285714286,-1.89572321428571,"1989-2020"
"647",21,12.9821517857143,"2010",12.8107142857143,-0.171437500000001,"2010"
"648",21,12.9821517857143,"1999",13.3611428571429,0.378991071428571,"1989-2020"
"649",21,12.9821517857143,"2001",13.6982857142857,0.716133928571427,"1989-2020"
"650",21,12.9821517857143,"1991",9.10471428571429,-3.8774375,"1989-2020"
"651",21,12.9821517857143,"2020",12.9338571428571,-0.0482946428571438,"1989-2020"
"652",21,12.9821517857143,"1990",11.2301428571429,-1.75200892857143,"1989-2020"
"653",21,12.9821517857143,"2013",7.30471428571429,-5.6774375,"1989-2020"
"654",21,12.9821517857143,"2018",16.5148571428571,3.53270535714286,"2018"
"655",21,12.9821517857143,"2002",13.3602857142857,0.378133928571428,"1989-2020"
"656",21,12.9821517857143,"2015",10.8721428571429,-2.11000892857143,"1989-2020"
"657",21,12.9821517857143,"2005",15.5677142857143,2.5855625,"1989-2020"
"658",21,12.9821517857143,"2000",10.9271428571429,-2.05500892857143,"1989-2020"
"659",21,12.9821517857143,"1997",9.18685714285714,-3.79529464285714,"1989-2020"
"660",21,12.9821517857143,"2011",14.0902857142857,1.10813392857143,"1989-2020"
