"","year","doy","smAverage","smAnomaly","Drought_Status"
"61","2011",20,38.0145544217687,-9.39863180272111,"2000-2020"
"62","2013",20,38.0145544217687,2.8349039115646,"2000-2020"
"63","2005",20,38.0145544217687,4.31538903061229,"2000-2020"
"64","2009",21,37.4389384920635,1.88124603174602,"2000-2020"
"65","2007",21,37.4389384920635,4.14215674603172,"2000-2020"
"66","2003",21,37.4389384920635,3.73746924603172,"2003"
"67","2014",21,37.4389384920635,4.52798710317462,"2000-2020"
"68","2016",21,37.4389384920635,-8.30603075396828,"2000-2020"
"69","2001",21,37.4389384920635,3.41971924603172,"2000-2020"
"70","2002",21,37.4389384920635,5.39637698412702,"2000-2020"
"71","2015",21,37.4389384920635,-4.46489980158728,"2000-2020"
"72","2008",21,37.4389384920635,-1.22320634920638,"2000-2020"
"73","2019",21,37.4389384920635,-2.08228075396828,"2019"
"74","2000",21,37.4389384920635,4.04535912698412,"2000-2020"
"75","2018",21,37.4389384920635,-8.69532242063488,"2018"
"76","2017",21,37.4389384920635,-5.77264980158728,"2000-2020"
"77","2010",21,37.4389384920635,5.83083829365082,"2010"
"78","2013",21,37.4389384920635,4.93490079365082,"2000-2020"
"79","2012",21,37.4389384920635,-1.97099801587298,"2000-2020"
"80","2005",21,37.4389384920635,5.06371924603172,"2000-2020"
"81","2020",21,37.4389384920635,-6.94956944444448,"2000-2020"
"82","2004",21,37.4389384920635,1.95793055555552,"2000-2020"
"83","2006",21,37.4389384920635,3.93043055555552,"2000-2020"
"84","2011",21,37.4389384920635,-9.40317658730158,"2000-2020"
"85","2009",22,36.5907596371882,-0.530456065759608,"2000-2020"
"86","2016",22,36.5907596371882,-1.25033999433111,"2000-2020"
"87","2007",22,36.5907596371882,7.60033560090699,"2000-2020"
"88","2002",22,36.5907596371882,6.59902607709749,"2000-2020"
"89","2003",22,36.5907596371882,-0.490798327664407,"2003"
"90","2014",22,36.5907596371882,6.90745464852609,"2000-2020"
"91","2017",22,36.5907596371882,-8.25616439909301,"2000-2020"
"92","2000",22,36.5907596371882,5.94574631519269,"2000-2020"
"93","2001",22,36.5907596371882,2.3496302437642,"2000-2020"
"94","2005",22,36.5907596371882,4.2679784580499,"2000-2020"
"95","2015",22,36.5907596371882,-5.22800666099771,"2000-2020"
"96","2010",22,36.5907596371882,7.37394869614509,"2010"
"97","2012",22,36.5907596371882,-4.9064203514739,"2000-2020"
"98","2006",22,36.5907596371882,5.7714873866213,"2000-2020"
"99","2020",22,36.5907596371882,-7.06488463718821,"2000-2020"
"100","2008",22,36.5907596371882,-4.14914654195011,"2000-2020"
"101","2004",22,36.5907596371882,0.240549886621295,"2000-2020"
"102","2013",22,36.5907596371882,7.57527607709749,"2000-2020"
"103","2018",22,36.5907596371882,-9.4449054705215,"2018"
"104","2011",22,36.5907596371882,-10.7523042800453,"2000-2020"
"105","2019",22,36.5907596371882,-2.55800666099771,"2019"
"106","2003",23,36.1786758786848,-1.68448540249432,"2003"
"107","2001",23,36.1786758786848,7.40409197845808,"2000-2020"
"108","2002",23,36.1786758786848,6.59643424036279,"2000-2020"
"109","2009",23,36.1786758786848,0.451005668934286,"2000-2020"
"110","2007",23,36.1786758786848,2.25501757369619,"2000-2020"
"111","2019",23,36.1786758786848,-8.05322349773241,"2019"
"112","2000",23,36.1786758786848,7.19219912131518,"2000-2020"
"113","2015",23,36.1786758786848,-6.63428599773241,"2000-2020"
"114","2016",23,36.1786758786848,-0.660631235827715,"2000-2020"
"115","2010",23,36.1786758786848,5.18632114512469,"2010"
"116","2012",23,36.1786758786848,2.36074376417228,"2000-2020"
"117","2018",23,36.1786758786848,-11.0036729024943,"2018"
"118","2014",23,36.1786758786848,2.49177650226758,"2000-2020"
"119","2008",23,36.1786758786848,-6.50768480725622,"2000-2020"
"120","2013",23,36.1786758786848,5.21559495464849,"2000-2020"
"121","2006",23,36.1786758786848,3.46151757369618,"2000-2020"
"122","2017",23,36.1786758786848,-0.152217545351512,"2000-2020"
"123","2020",23,36.1786758786848,-5.67369968820861,"2000-2020"
"124","2004",23,36.1786758786848,2.36622293083899,"2000-2020"
"125","2005",23,36.1786758786848,5.31745507369619,"2000-2020"
"126","2011",23,36.1786758786848,-9.92847945011341,"2000-2020"
"127","2009",24,35.030818452381,5.24158333333335,"2000-2020"
"128","2017",24,35.030818452381,-2.31533333333336,"2000-2020"
"129","2007",24,35.030818452381,0.738666666666646,"2000-2020"
"130","2002",24,35.030818452381,8.48817559523805,"2000-2020"
"131","2016",24,35.030818452381,1.11290476190474,"2000-2020"
"132","2014",24,35.030818452381,0.144386904761944,"2000-2020"
"133","2011",24,35.030818452381,-10.1608630952381,"2000-2020"
"134","2010",24,35.030818452381,3.61011011904765,"2010"
"135","2003",24,35.030818452381,-0.621925595238054,"2003"
"136","2005",24,35.030818452381,3.74590476190475,"2000-2020"
"137","2015",24,35.030818452381,-7.84034523809526,"2000-2020"
"138","2008",24,35.030818452381,-3.55365773809526,"2000-2020"
"139","2000",24,35.030818452381,7.55151190476195,"2000-2020"
"140","2001",24,35.030818452381,7.84084226190475,"2000-2020"
"141","2020",24,35.030818452381,3.54791369047614,"2000-2020"
"142","2019",24,35.030818452381,-2.21073809523806,"2019"
"143","2012",24,35.030818452381,0.956285714285741,"2000-2020"
"144","2006",24,35.030818452381,-3.29154761904766,"2000-2020"
"145","2018",24,35.030818452381,-11.1383630952381,"2018"
"146","2004",24,35.030818452381,-1.84551190476196,"2000-2020"
"147","2018",25,33.4755662951217,-10.7008906998836,"2018"
"148","2009",25,33.4755662951217,6.66735930011644,"2000-2020"
"149","2003",25,33.4755662951217,-3.76261093797875,"2003"
"150","2002",25,33.4755662951217,4.88064799059265,"2000-2020"
"151","2007",25,33.4755662951217,5.92609144297355,"2000-2020"
"152","2001",25,33.4755662951217,9.56215691916405,"2000-2020"
"153","2000",25,33.4755662951217,4.96629084773545,"2000-2020"
"154","2015",25,33.4755662951217,-5.60291153321685,"2000-2020"
"155","2016",25,33.4755662951217,1.79388608583075,"2000-2020"
"156","2019",25,33.4755662951217,-1.75067939035975,"2019"
"157","2012",25,33.4755662951217,4.27460632392595,"2000-2020"
"158","2005",25,33.4755662951217,-2.10195915226455,"2000-2020"
"159","2017",25,33.4755662951217,-4.79445022369305,"2000-2020"
"160","2010",25,33.4755662951217,-0.144352009407349,"2010"
"161","2013",25,33.4755662951217,4.14191816433785,"2000-2020"
"162","2006",25,33.4755662951217,-4.39356629512165,"2000-2020"
"163","2014",25,33.4755662951217,-3.19890260464545,"2000-2020"
"164","2004",25,33.4755662951217,-1.01205439035975,"2000-2020"
"165","2020",25,33.4755662951217,6.81690394297355,"2000-2020"
"166","2008",25,33.4755662951217,-3.44191748559785,"2000-2020"
"167","2011",25,33.4755662951217,-8.12556629512165,"2000-2020"
"168","2002",26,31.5764750566893,1.13913208616776,"2000-2020"
"169","2009",26,31.5764750566893,7.69731660997736,"2000-2020"
"170","2000",26,31.5764750566893,1.82273625283446,"2000-2020"
"171","2007",26,31.5764750566893,8.25589696712015,"2000-2020"
"172","2012",26,31.5764750566893,8.21596839569166,"2000-2020"
"173","2016",26,31.5764750566893,-1.84533219954644,"2000-2020"
"174","2017",26,31.5764750566893,-2.30926969954644,"2000-2020"
"175","2010",26,31.5764750566893,-3.03637089002264,"2010"
"176","2003",26,31.5764750566893,-6.21421017573694,"2003"
"177","2014",26,31.5764750566893,-3.44905243764174,"2000-2020"
"178","2015",26,31.5764750566893,-4.15684410430834,"2000-2020"
"179","2008",26,31.5764750566893,-3.66679350907034,"2000-2020"
"180","2001",26,31.5764750566893,6.58085827664395,"2000-2020"
"181","2005",26,31.5764750566893,3.93581065759636,"2000-2020"
"182","2020",26,31.5764750566893,1.59727494331066,"2000-2020"
"183","2019",26,31.5764750566893,-5.41850481859414,"2019"
"184","2006",26,31.5764750566893,-1.16930541383224,"2000-2020"
"185","2018",26,31.5764750566893,-9.66388279478454,"2018"
"186","2011",26,31.5764750566893,-4.74186196145124,"2000-2020"
"187","2004",26,31.5764750566893,4.00670946712016,"2000-2020"
"188","2013",26,31.5764750566893,2.41972434807256,"2000-2020"
"189","2007",27,30.1519553571429,6.60194940476194,"2000-2020"
"190","2016",27,30.1519553571429,-1.77867261904766,"2000-2020"
"191","2009",27,30.1519553571429,2.58175892857144,"2000-2020"
"192","2002",27,30.1519553571429,-1.03254464285716,"2000-2020"
"193","2014",27,30.1519553571429,-3.64594940476186,"2000-2020"
"194","2001",27,30.1519553571429,4.45910119047624,"2000-2020"
"195","2000",27,30.1519553571429,7.52758928571424,"2000-2020"
"196","2015",27,30.1519553571429,-5.73640476190477,"2000-2020"
"197","2019",27,30.1519553571429,-8.07332738095236,"2019"
"198","2012",27,30.1519553571429,10.8589791666666,"2000-2020"
"199","2005",27,30.1519553571429,8.01112500000004,"2000-2020"
"200","2006",27,30.1519553571429,-5.61343452380956,"2000-2020"
"201","2017",27,30.1519553571429,0.0298125000000375,"2000-2020"
"202","2010",27,30.1519553571429,-4.72359226190476,"2010"
"203","2003",27,30.1519553571429,-3.93758928571426,"2003"
"204","2004",27,30.1519553571429,9.09133630952384,"2000-2020"
"205","2008",27,30.1519553571429,-5.09059821428576,"2000-2020"
"206","2013",27,30.1519553571429,1.55835416666664,"2000-2020"
"207","2020",27,30.1519553571429,-2.29374107142856,"2000-2020"
"208","2011",27,30.1519553571429,0.752955357142834,"2000-2020"
"209","2018",27,30.1519553571429,-9.54710714285716,"2018"
"210","2009",28,31.1086485260771,8.3752889739229,"2000-2020"
"211","2012",28,31.1086485260771,8.5581490929705,"2000-2020"
"212","2000",28,31.1086485260771,11.4558574263039,"2000-2020"
"213","2016",28,31.1086485260771,-5.4131901927438,"2000-2020"
"214","2006",28,31.1086485260771,-9.1323032879819,"2000-2020"
"215","2014",28,31.1086485260771,8.1859288548753,"2000-2020"
"216","2007",28,31.1086485260771,8.9735449263038,"2000-2020"
"217","2010",28,31.1086485260771,-6.5377586451247,"2010"
"218","2003",28,31.1086485260771,-8.1095592403628,"2003"
"219","2015",28,31.1086485260771,-7.5570503117914,"2000-2020"
"220","2008",28,31.1086485260771,-6.9538211451247,"2000-2020"
"221","2001",28,31.1086485260771,9.2994854024943,"2000-2020"
"222","2004",28,31.1086485260771,11.3569258786848,"2000-2020"
"223","2005",28,31.1086485260771,3.7394139739229,"2000-2020"
"224","2020",28,31.1086485260771,-4.2467943594104,"2000-2020"
"225","2019",28,31.1086485260771,-8.2497259070295,"2019"
"226","2013",28,31.1086485260771,-4.2461187641723,"2000-2020"
"227","2018",28,31.1086485260771,-10.6403687641723,"2018"
"228","2017",28,31.1086485260771,3.2387264739229,"2000-2020"
"229","2011",28,31.1086485260771,-1.4986753117914,"2000-2020"
"230","2002",28,31.1086485260771,-0.597955073696102,"2000-2020"
"231","2007",29,29.8110753968254,2.65448115079361,"2000-2020"
"232","2016",29,29.8110753968254,-5.4929920634921,"2000-2020"
"233","2002",29,29.8110753968254,6.7129871031746,"2000-2020"
"234","2014",29,29.8110753968254,4.34949900793651,"2000-2020"
"235","2008",29,29.8110753968254,-5.9427123015873,"2000-2020"
"236","2001",29,29.8110753968254,12.468376984127,"2000-2020"
"237","2000",29,29.8110753968254,11.4293412698413,"2000-2020"
"238","2019",29,29.8110753968254,-6.97419146825399,"2019"
"239","2020",29,29.8110753968254,-5.57251289682539,"2000-2020"
"240","2012",29,29.8110753968254,12.3571359126984,"2000-2020"
"241","2005",29,29.8110753968254,1.26803174603171,"2000-2020"
"242","2015",29,29.8110753968254,-6.24087003968249,"2000-2020"
"243","2017",29,29.8110753968254,1.4442787698413,"2000-2020"
"244","2010",29,29.8110753968254,-7.06339682539679,"2010"
"245","2009",29,29.8110753968254,7.9834186507936,"2000-2020"
"246","2006",29,29.8110753968254,-10.2686051587302,"2000-2020"
"247","2004",29,29.8110753968254,13.0113234126984,"2000-2020"
"248","2018",29,29.8110753968254,-10.1794117063492,"2018"
"249","2013",29,29.8110753968254,-5.7764087301587,"2000-2020"
"250","2003",29,29.8110753968254,-8.82561111111109,"2003"
"251","2011",29,29.8110753968254,-1.3421617063492,"2000-2020"
"252","2009",30,29.1640219671202,11.3127845804988,"2000-2020"
"253","2015",30,29.1640219671202,-5.93992672902498,"2000-2020"
"254","2016",30,29.1640219671202,-4.13977494331067,"2000-2020"
"255","2000",30,29.1640219671202,7.98401374716552,"2000-2020"
"256","2003",30,29.1640219671202,-9.00535827664397,"2003"
"257","2014",30,29.1640219671202,6.35281731859412,"2000-2020"
"258","2007",30,29.1640219671202,8.74929350907032,"2000-2020"
"259","2012",30,29.1640219671202,9.12330839002272,"2000-2020"
"260","2006",30,29.1640219671202,-11.3628047052154,"2000-2020"
"261","2002",30,29.1640219671202,1.49072208049883,"2000-2020"
"262","2008",30,29.1640219671202,-6.12026303854877,"2000-2020"
"263","2010",30,29.1640219671202,-6.32692375283447,"2010"
"264","2004",30,29.1640219671202,12.6037637471655,"2000-2020"
"265","2005",30,29.1640219671202,3.32750779478463,"2000-2020"
"266","2020",30,29.1640219671202,-6.82474815759637,"2000-2020"
"267","2001",30,29.1640219671202,4.24136791383222,"2000-2020"
"268","2013",30,29.1640219671202,-3.56804280045347,"2000-2020"
"269","2011",30,29.1640219671202,-4.10313506235827,"2000-2020"
"270","2018",30,29.1640219671202,-10.0384743480726,"2018"
"271","2019",30,29.1640219671202,-7.91375113378687,"2019"
"272","2017",30,29.1640219671202,10.1576238662131,"2000-2020"
"273","2001",31,27.1075986394558,-0.348592687074788,"2000-2020"
"274","2009",31,27.1075986394558,5.26311862244901,"2000-2020"
"275","2002",31,27.1075986394558,-1.25444090136059,"2000-2020"
"276","2007",31,27.1075986394558,11.8144162414966,"2000-2020"
"277","2016",31,27.1075986394558,-2.93969387755099,"2000-2020"
"278","2012",31,27.1075986394558,6.37855017006801,"2000-2020"
"279","2000",31,27.1075986394558,6.77915731292521,"2000-2020"
"280","2014",31,27.1075986394558,12.6938358843537,"2000-2020"
"281","2008",31,27.1075986394558,-5.23175637755099,"2000-2020"
"282","2010",31,27.1075986394558,-5.47036649659869,"2010"
"283","2005",31,27.1075986394558,5.16330909863941,"2000-2020"
"284","2015",31,27.1075986394558,-4.35930102040819,"2000-2020"
"285","2019",31,27.1075986394558,-6.89478316326529,"2019"
"286","2020",31,27.1075986394558,-6.23118197278909,"2000-2020"
"287","2003",31,27.1075986394558,-7.77139923469389,"2003"
"288","2006",31,27.1075986394558,-7.00004506802719,"2000-2020"
"289","2017",31,27.1075986394558,7.32200552721091,"2000-2020"
"290","2018",31,27.1075986394558,-8.60290221088439,"2018"
"291","2013",31,27.1075986394558,-2.44942602040819,"2000-2020"
"292","2004",31,27.1075986394558,5.99637457482991,"2000-2020"
"293","2011",31,27.1075986394558,-2.85687840136059,"2000-2020"
"294","2009",32,26.5519945526695,2.57359175685426,"2000-2020"
"295","2014",32,26.5519945526695,11.97593997114,"2000-2020"
"296","2016",32,26.5519945526695,-1.97465526695525,"2000-2020"
"297","2000",32,26.5519945526695,3.57664235209236,"2000-2020"
"298","2015",32,26.5519945526695,-4.94019395743144,"2000-2020"
"299","2008",32,26.5519945526695,-4.80849157647905,"2000-2020"
"300","2007",32,26.5519945526695,13.4850381854257,"2000-2020"
"301","2010",32,26.5519945526695,-2.87875348124095,"2010"
"302","2003",32,26.5519945526695,-8.60425050505054,"2003"
"303","2002",32,26.5519945526695,3.96575544733046,"2000-2020"
"304","2020",32,26.5519945526695,-6.35721181457435,"2000-2020"
"305","2001",32,26.5519945526695,-0.542300018037544,"2000-2020"
"306","2012",32,26.5519945526695,5.85017806637805,"2000-2020"
"307","2005",32,26.5519945526695,9.58251437590186,"2000-2020"
"308","2018",32,26.5519945526695,-8.66722967171714,"2018"
"309","2019",32,26.5519945526695,-5.51852431457434,"2019"
"310","2004",32,26.5519945526695,-1.85947371933624,"2000-2020"
"311","2006",32,26.5519945526695,-5.03488145743145,"2000-2020"
"312","2017",32,26.5519945526695,6.19472866161616,"2000-2020"
"313","2013",32,26.5519945526695,-2.72481598124094,"2000-2020"
"314","2011",32,26.5519945526695,-3.29360705266954,"2000-2020"
"315","2015",33,25.9225396825397,-4.23952480158728,"2000-2020"
"316","2007",33,25.9225396825397,11.1892103174603,"2000-2020"
"317","2009",33,25.9225396825397,2.30807936507933,"2000-2020"
"318","2002",33,25.9225396825397,4.69315674603173,"2000-2020"
"319","2016",33,25.9225396825397,-2.73407837301588,"2000-2020"
"320","2012",33,25.9225396825397,2.42634424603173,"2000-2020"
"321","2000",33,25.9225396825397,0.244370039682526,"2000-2020"
"322","2014",33,25.9225396825397,13.3495079365079,"2000-2020"
"323","2001",33,25.9225396825397,-2.23874503968257,"2000-2020"
"324","2010",33,25.9225396825397,3.10411507936513,"2010"
"325","2019",33,25.9225396825397,-6.54797420634917,"2019"
"326","2008",33,25.9225396825397,-4.75675694444448,"2000-2020"
"327","2017",33,25.9225396825397,11.6410109126984,"2000-2020"
"328","2013",33,25.9225396825397,-3.51539087301587,"2000-2020"
"329","2003",33,25.9225396825397,-9.15540873015868,"2003"
"330","2005",33,25.9225396825397,7.28248412698413,"2000-2020"
"331","2018",33,25.9225396825397,-8.44639682539677,"2018"
"332","2020",33,25.9225396825397,-5.73232837301587,"2000-2020"
"333","2006",33,25.9225396825397,-5.24363194444447,"2000-2020"
"334","2004",33,25.9225396825397,-3.62804265873017,"2000-2020"
"335","2016",34,25.2170322916667,-3.51479717261907,"2000-2020"
"336","2015",34,25.2170322916667,-3.43668705357146,"2000-2020"
"337","2009",34,25.2170322916667,1.36599747023813,"2000-2020"
"338","2014",34,25.2170322916667,10.3661641369047,"2000-2020"
"339","2008",34,25.2170322916667,-4.03439538690477,"2000-2020"
"340","2001",34,25.2170322916667,-2.23476741071427,"2000-2020"
"341","2007",34,25.2170322916667,10.127878422619,"2000-2020"
"342","2017",34,25.2170322916667,7.64584866071433,"2000-2020"
"343","2002",34,25.2170322916667,1.37106592261904,"2000-2020"
"344","2012",34,25.2170322916667,-0.244127529761865,"2000-2020"
"345","2010",34,25.2170322916667,6.54217604166664,"2010"
"346","2006",34,25.2170322916667,-0.0416483630952662,"2000-2020"
"347","2000",34,25.2170322916667,3.51216413690473,"2000-2020"
"348","2013",34,25.2170322916667,-3.47410967261906,"2000-2020"
"349","2018",34,25.2170322916667,-8.21063050595237,"2018"
"350","2005",34,25.2170322916667,8.42034866071434,"2000-2020"
"351","2020",34,25.2170322916667,-5.60690133928567,"2000-2020"
"352","2019",34,25.2170322916667,-6.67940431547617,"2019"
"353","2003",34,25.2170322916667,-8.98280014880957,"2003"
"354","2004",34,25.2170322916667,-2.89137455357147,"2000-2020"
"355","2002",35,24.9286651718529,0.788471732909031,"2000-2020"
"356","2015",35,24.9286651718529,-3.18393600518617,"2000-2020"
"357","2009",35,24.9286651718529,-0.978486600424269,"2000-2020"
"358","2001",35,24.9286651718529,-3.78396874328147,"2000-2020"
"359","2003",35,24.9286651718529,-8.41271279090047,"2003"
"360","2010",35,24.9286651718529,11.8205550662423,"2010"
"361","2017",35,24.9286651718529,7.50561161386143,"2000-2020"
"362","2016",35,24.9286651718529,-4.50099552899577,"2000-2020"
"363","2008",35,24.9286651718529,-4.05663243375767,"2000-2020"
"364","2000",35,24.9286651718529,3.43285220079383,"2000-2020"
"365","2007",35,24.9286651718529,5.74673363767093,"2000-2020"
"366","2014",35,24.9286651718529,12.7754330424328,"2000-2020"
"367","2004",35,24.9286651718529,5.07455804243283,"2000-2020"
"368","2011",35,24.9286651718529,-3.20307703082727,"2000-2020"
"369","2018",35,24.9286651718529,-8.44859671947187,"2018"
"370","2006",35,24.9286651718529,3.93743899481383,"2000-2020"
"371","2005",35,24.9286651718529,1.90850447100423,"2000-2020"
"372","2012",35,24.9286651718529,-0.146370528995771,"2000-2020"
"373","2019",35,24.9286651718529,-7.20612052899577,"2019"
"374","2013",35,24.9286651718529,-4.32581100518617,"2000-2020"
"375","2020",35,24.9286651718529,-4.74345088613857,"2000-2020"
"376","2018",36,24.232996753386,-7.27674675338604,"2018"
"377","2003",36,24.232996753386,-7.17954437243364,"2003"
"378","2001",36,24.232996753386,2.39814312756636,"2000-2020"
"379","2008",36,24.232996753386,-3.54221699148124,"2000-2020"
"380","2002",36,24.232996753386,-0.878559253386037,"2000-2020"
"381","2009",36,24.232996753386,-0.292124729576535,"2000-2020"
"382","2019",36,24.232996753386,-7.70708306290983,"2019"
"383","2004",36,24.232996753386,-0.0393777057670377,"2000-2020"
"384","2015",36,24.232996753386,-3.15688365814794,"2000-2020"
"385","2007",36,24.232996753386,8.44914015137586,"2000-2020"
"386","2017",36,24.232996753386,3.78745562756636,"2000-2020"
"387","2016",36,24.232996753386,-4.14022592005274,"2000-2020"
"388","2011",36,24.232996753386,-1.41808603910034,"2000-2020"
"389","2010",36,24.232996753386,7.51370860375686,"2010"
"390","2020",36,24.232996753386,-4.36231520576704,"2000-2020"
"391","2014",36,24.232996753386,13.150997294233,"2000-2020"
"392","2012",36,24.232996753386,-1.31985389624313,"2000-2020"
"393","2000",36,24.232996753386,9.39112554391126,"2000-2020"
"394","2005",36,24.232996753386,-0.268696158147936,"2000-2020"
"395","2013",36,24.232996753386,-3.98641639624314,"2000-2020"
"396","2006",36,24.232996753386,0.877559794232965,"2000-2020"
