"","date","year","month","week","doy","gpp_z_scores","temp_z_scores","sm1_z_scores","sm2_z_scores","sm3_z_scores","vpd_z_scores","swr_z_scores","precip_z_scores"
"1","2000-01-07",2000,"Jan",1,7,-2.68914461439366,0.444748371366026,NA,NA,NA,-0.441380645493195,0.231313897518045,-0.610462433836896
"2","2000-01-14",2000,"Jan",2,14,-2.74407084081034,-0.385002127698845,NA,NA,NA,-0.380841124476261,0.451620802692094,-1.130697036976
"3","2000-01-21",2000,"Jan",3,21,-2.56701421100138,0.0743879804664817,NA,NA,NA,-0.386486354503744,-0.680500441601356,0.0924270495883936
"4","2000-01-28",2000,"Jan",4,28,-3.01507475763617,-0.783397380191057,NA,NA,NA,-0.527773371345183,0.589319059834852,-0.434895850060072
"5","2000-02-04",2000,"Feb",5,35,-0.80518079656408,0.886146989253707,NA,NA,NA,0.0182947124569871,-0.855318588253555,1.73218681745858
"6","2000-02-11",2000,"Feb",6,42,2.75855886800185,1.06446020146857,NA,NA,NA,0.926588675762999,0.890265974371752,-0.189023893436455
"7","2000-02-18",2000,"Feb",7,49,-3.05438745495999,-0.0292785147408319,NA,NA,NA,-0.470835984329378,-0.808427251507014,2.22336522922643
"8","2000-02-25",2000,"Feb",8,56,-3.25453903674582,-0.0282445170106171,NA,NA,NA,-0.934336243696231,-0.658134817593712,1.32006475465759
"9","2000-03-03",2000,"Mar",9,63,2.31132788636227,0.629402828683601,NA,NA,NA,0.0293581176751601,0.505642920163009,0.663115512580925
"10","2000-03-10",2000,"Mar",10,70,0.833241032767467,-0.0207014652297368,0.906175217539939,0.00919743569146703,-1.09983683456575,-0.690070848742478,-0.515415113992521,1.65491621616394
"11","2000-03-17",2000,"Mar",11,77,0.182340288183917,-0.170904045863475,0.870526879940866,-0.144173441674709,-1.05089222662941,-0.751834642909855,-1.08374462514277,0.910967430706976
"12","2000-03-24",2000,"Mar",12,84,1.91456538505057,0.630935838556556,0.886936406831782,0.141310611989877,-0.174389941060741,0.251068999159259,0.369169414460645,0.365108412658288
"13","2000-03-31",2000,"Mar",13,91,-1.74148746614713,-0.811361439533196,0.709308947030333,0.0984532197208485,-0.041161889113576,-1.35553266816807,-2.21601563171693,0.506923277964189
"14","2000-04-07",2000,"Apr",14,98,1.29279181808269,-0.0784115625958132,1.060333135928,0.293271634617687,0.2773149634312,-0.428425479018456,0.430100261192588,-0.0604752544990785
"15","2000-04-14",2000,"Apr",15,105,0.374185104708349,-0.610110557571469,0.827718885735259,0.268043131115256,0.194330450311307,-0.58466345038121,-0.0325878210647435,-0.0275296010549066
"16","2000-04-21",2000,"Apr",16,112,0.26487606227427,0.435750706334324,1.06999583664671,0.425154995901606,0.461630019802545,-0.304977657659743,-0.736361668826092,0.458324580116818
"17","2000-04-28",2000,"Apr",17,119,0.790202527906649,1.61381818434375,0.912481328965256,0.307466359884083,0.587248439693385,1.08491539873889,0.41089657922165,-0.973682124309164
"18","2000-05-05",2000,"May",18,126,1.0414646620409,1.48957126490928,1.0460181854335,0.272646334446938,0.629908000075428,0.119595194147248,0.260796074456121,-0.421045061787285
"19","2000-05-12",2000,"May",19,133,0.924698652381447,1.3616151951582,0.770742347500733,0.0915362119356843,0.563221729844933,0.867181617868393,0.962125665897369,-0.835188420975734
"20","2000-05-19",2000,"May",20,140,0.717584362959226,1.60297331367905,0.277261430189554,-0.583898340649277,0.63931584527275,2.47790092559476,1.34891372954028,-0.713923602721187
"21","2000-05-26",2000,"May",21,147,-0.389951824217301,-0.932821449389182,0.764559767226885,-0.159955407482583,0.605408324505887,-1.26222442226599,-0.660515231060929,-0.0365622376813135
"22","2000-06-02",2000,"Jun",22,154,0.197083379269747,-0.551872203618747,0.968752029227273,0.256766515530532,0.597926638402708,-0.311553039895117,-0.166532020918922,-0.411181786226056
"23","2000-06-09",2000,"Jun",23,161,0.226891459648547,0.0896966283059572,1.23943554819215,0.725672188828439,0.941362493965423,-0.931976771213801,-0.262363320640205,1.88135108383081
"24","2000-06-16",2000,"Jun",24,168,0.980890912816411,0.75306069060903,1.35897033195952,1.07487242113283,1.35870486845604,0.270582445985267,0.526759389286139,-0.192944495205595
"25","2000-06-23",2000,"Jun",25,175,0.182978975722729,1.32871053816976,0.904016245480407,0.295787709123865,1.25376828301318,2.67933334071851,1.27701835779967,-1.03359142522661
"26","2000-06-30",2000,"Jun",26,182,-0.770324570241738,-2.05398606009812,0.35455253193485,-0.459010059377469,1.26534491161065,-0.953091567189503,-0.605667490691525,-0.507115923860129
"27","2000-07-07",2000,"Jul",27,189,-1.76411754437486,-0.797208886655568,1.27076054501794,0.830903788734696,1.42786083692293,-1.33355821459695,-1.78896805564791,2.18349301809206
"28","2000-07-14",2000,"Jul",28,196,-1.5384311580209,-1.9590758989019,1.47360775350383,1.55455364347716,1.48804595100891,-1.29240281367548,-1.42561961548321,0.148710546462617
"29","2000-07-21",2000,"Jul",29,203,-1.17594845032799,-1.90426598474243,1.4161727829979,1.47799068112523,1.41837058560674,-1.29740860695082,-1.40036181865808,-1.15729861138364
"30","2000-07-28",2000,"Jul",30,210,-0.487774811604727,-1.24566805877038,1.00396366456756,0.595519740724386,1.16384524106945,-1.27858825306252,-1.30863098126263,-0.595123303284016
"31","2000-08-04",2000,"Aug",31,217,0.493942374118519,-0.889208112448015,1.00953772352158,0.20014413651995,1.3222597717382,-0.892382778594351,-0.154615948577601,-0.161817902164101
"32","2000-08-11",2000,"Aug",32,224,0.609456693095044,-0.386419463351106,0.548004863629884,-0.303865584787008,1.41654259524922,-0.539854742443411,-0.101033441428788,-0.677823786742644
"33","2000-08-18",2000,"Aug",33,231,0.964493630649018,1.45253971167122,0.0360738985444879,-0.64196291961195,1.06499204449212,0.749172691075909,1.08495251522189,-0.964208525815708
"34","2000-08-25",2000,"Aug",34,238,0.5034202660616,-0.350289538590205,0.583505382797326,-0.716831283264553,1.0402883066434,-0.662431381268637,0.149725400765403,2.30926460912145
"35","2000-09-01",2000,"Sep",35,245,0.871639370938022,0.0140480968289357,0.557872972374592,-0.73323144262922,1.09085252975099,-0.184689378402725,0.647022173347964,-1.00148636475555
"36","2000-09-08",2000,"Sep",36,252,-1.34317001245988,-1.35828054182922,1.6435142761484,-0.410862596585033,1.02067127702935,-1.23097434291236,-1.45357587714332,-0.125929597798638
"37","2000-09-15",2000,"Sep",37,259,0.693548102506861,0.68879151626989,1.17436847571709,-0.498836121811045,0.889261839989788,-0.146215931791484,0.402619331837749,-0.519703718968328
"38","2000-09-22",2000,"Sep",38,266,-1.53324695215384,-0.794976262166165,1.23876968173621,-0.459579690890486,0.881026351265629,-1.09908469062154,-1.62734836623503,-0.777368217467377
"39","2000-09-29",2000,"Sep",39,273,0.751629649453851,0.555963079179248,1.21172973388512,-0.500331809714683,1.21692121339621,-0.26163480035795,0.695544358686002,-0.625026938748933
"40","2000-10-06",2000,"Oct",40,280,0.637958807777002,0.630140459857465,0.422777045662888,-0.811072290463878,0.860691625825099,0.0483943736465971,0.539427112756554,-1.04001746174416
"41","2000-10-13",2000,"Oct",41,287,-0.675137211790653,-0.458700963589121,1.08660596177499,-0.67836240814953,0.394795367396199,-0.29629460808517,-0.767915743482146,0.276092165779315
"42","2000-10-20",2000,"Oct",42,294,-0.269614797439575,0.409571625635032,0.758000646320133,0.145434094971263,0.242758775673627,-0.266002247181252,-0.530617284277698,-0.483991280686284
"43","2000-10-27",2000,"Oct",43,301,1.12624576545097,0.656585999741929,0.696365980527592,0.30494062312762,0.14608798040728,0.66839867374259,0.847581206540012,-0.33388910552283
"44","2000-11-03",2000,"Nov",44,308,-0.665139518916544,0.235545501681878,1.24924695665205,1.02503958980825,0.0573574858775535,0.375489143499389,-0.853547122807397,0.916867303857819
"45","2000-11-10",2000,"Nov",45,315,0.32620886603656,-0.104671436817215,1.07657454838639,0.780005995155413,0.604749236794555,0.430104296108426,0.328803386430716,-0.632181090333208
"46","2000-11-17",2000,"Nov",46,322,0.487689173401499,0.391694070801347,0.920467960464467,0.604410339907096,0.63079159410903,0.931083609695149,0.312997484977727,-0.163574119006225
"47","2000-11-24",2000,"Nov",47,329,0.7382417081777,0.316191824253838,0.799539070532635,0.515875052768209,0.479481935390575,0.515937930345584,0.741465453383337,-0.791054023223448
"48","2000-12-01",2000,"Dec",48,336,0.969211335573295,1.27344118006749,0.803377118656635,0.519341508690793,0.45884166245933,0.690790264881225,0.821556609252897,-0.55801351240769
"49","2000-12-08",2000,"Dec",49,343,1.64471774317949,1.51422834030398,0.730434058926941,0.427390680476468,0.357393397655298,1.2349807338131,1.45357031049455,-0.982269151923676
"50","2000-12-15",2000,"Dec",50,350,0.750229732663268,1.98886600606478,0.993039709154383,0.843128893040608,0.30155014613648,2.58679053503346,0.57478869660807,-0.189576340043875
