"","week","AverageWeeklyMeanT","sd","year","WeeklyMeanT"
"1",1,-0.0209732142857143,5.29463173337905,1989,2.01214285714286
"2",1,-0.0209732142857143,5.29463173337905,2018,4.41657142857143
"3",1,-0.0209732142857143,5.29463173337905,2017,-3.579
"4",1,-0.0209732142857143,5.29463173337905,2002,-6.61571428571429
"5",1,-0.0209732142857143,5.29463173337905,2015,1.11828571428571
"6",1,-0.0209732142857143,5.29463173337905,1999,4.61957142857143
"7",1,-0.0209732142857143,5.29463173337905,2012,4.63442857142857
"8",1,-0.0209732142857143,5.29463173337905,1996,-5.161
"9",1,-0.0209732142857143,5.29463173337905,2010,-7.62685714285714
"10",1,-0.0209732142857143,5.29463173337905,2019,2.40628571428571
"11",1,-0.0209732142857143,5.29463173337905,2009,-6.69685714285714
"12",1,-0.0209732142857143,5.29463173337905,1993,-5.79385714285714
"13",1,-0.0209732142857143,5.29463173337905,2006,-0.650857142857143
"14",1,-0.0209732142857143,5.29463173337905,2016,-1.411
"15",1,-0.0209732142857143,5.29463173337905,2003,-1.11857142857143
"16",1,-0.0209732142857143,5.29463173337905,2013,5.36042857142857
"17",1,-0.0209732142857143,5.29463173337905,1997,-10.851
"18",1,-0.0209732142857143,5.29463173337905,2011,-1.242
"19",1,-0.0209732142857143,5.29463173337905,2000,2.30771428571429
"20",1,-0.0209732142857143,5.29463173337905,1994,3.28628571428571
"21",1,-0.0209732142857143,5.29463173337905,2008,-0.505714285714286
"22",1,-0.0209732142857143,5.29463173337905,2007,5.39471428571429
"23",1,-0.0209732142857143,5.29463173337905,2020,1.27242857142857
"24",1,-0.0209732142857143,5.29463173337905,2004,-2.56514285714286
"25",1,-0.0209732142857143,5.29463173337905,2014,4.75785714285714
"26",1,-0.0209732142857143,5.29463173337905,1998,5.19771428571429
"27",1,-0.0209732142857143,5.29463173337905,2001,3.20428571428571
"28",1,-0.0209732142857143,5.29463173337905,1995,-5.59514285714286
"29",1,-0.0209732142857143,5.29463173337905,1990,-2.56414285714286
"30",1,-0.0209732142857143,5.29463173337905,1992,2.84728571428571
"31",1,-0.0209732142857143,5.29463173337905,2005,4.485
"32",1,-0.0209732142857143,5.29463173337905,1991,3.98471428571429
"33",2,0.991165178571429,4.45434568425441,2018,1.017
"34",2,0.991165178571429,4.45434568425441,2001,-1.75728571428571
"35",2,0.991165178571429,4.45434568425441,2010,-6.37842857142857
"36",2,0.991165178571429,4.45434568425441,2012,3.54271428571429
"37",2,0.991165178571429,4.45434568425441,2017,-0.0311428571428571
