"","date","week","year","tempAnomaly","smAnomaly"
"1",2000-03-10,10,2000,1.01483928571429,2.90336720521545
"2",2000-03-17,11,2000,0.477732142857143,2.54043053445579
"3",2000-03-24,12,2000,1.25622767857143,2.6097074829932
"4",2000-03-31,13,2000,-0.548633928571428,2.45958432539687
"5",2000-04-07,14,2000,-0.492741071428572,3.36534056122449
"6",2000-04-14,15,2000,-1.60337053571429,3.34478617488657
"7",2000-04-21,16,2000,2.07976785714286,4.97864441609976
"8",2000-04-28,17,2000,3.78677678571429,4.67573270975061
"9",2000-05-05,18,2000,4.00933482142857,5.16138327382961
"10",2000-05-12,19,2000,4.74398660714286,3.71887386621314
"11",2000-05-19,20,2000,2.60329910714286,1.38777295918369
"12",2000-05-26,21,2000,-2.05500892857143,4.04535912698412
"13",2000-06-02,22,2000,-1.81332142857143,5.94574631519269
"14",2000-06-09,23,2000,0.906437499999999,7.19219912131518
"15",2000-06-16,24,2000,2.23151339285714,7.55151190476195
"16",2000-06-23,25,2000,3.17433482142857,4.96629084773545
"17",2000-06-30,26,2000,-5.32875,1.82273625283446
"18",2000-07-07,27,2000,-1.32020535714286,7.52758928571424
"19",2000-07-14,28,2000,-4.35411160714286,11.4558574263039
"20",2000-07-21,29,2000,-4.77734375,11.4293412698413
"21",2000-07-28,30,2000,-2.84517410714286,7.98401374716552
"22",2000-08-04,31,2000,-2.42727678571429,6.77915731292521
"23",2000-08-11,32,2000,-1.80734821428572,3.57664235209236
"24",2000-08-18,33,2000,2.30658482142857,0.244370039682526
"25",2000-08-25,34,2000,-0.802732142857144,3.51216413690473
"26",2000-09-01,35,2000,0.155526785714285,3.43285220079383
"27",2000-09-08,36,2000,-2.08651785714286,9.39112554391126
"28",2000-09-15,37,2000,2.68127232142857,8.35288136180392
"29",2000-09-22,38,2000,-1.22504910714286,9.98497140916152
"30",2000-09-29,39,2000,0.860366071428571,9.78427891865083
"31",2000-10-06,40,2000,1.34775446428571,3.23684657738096
"32",2000-10-13,41,2000,-1.16089732142857,8.05692176870746
"33",2000-10-20,42,2000,1.91787053571429,5.80088367593413
"34",2000-10-27,43,2000,1.80019196428571,5.68063676303853
"35",2000-11-03,44,2000,1.95668303571429,9.91835983560092
"36",2000-11-10,45,2000,0.182758928571428,8.39580357142854
"37",2000-11-17,46,2000,1.52281696428571,6.79010238095238
"38",2000-11-24,47,2000,1.86444196428571,5.48457748015875
"39",2000-12-01,48,2000,3.54239285714286,5.19066830357146
"40",2000-12-08,49,2000,4.25849553571429,3.67849970238098
"41",2000-12-15,50,2000,6.34691517857143,4.06954868197276
"42",2000-12-22,51,2000,-3.05220089285714,3.83063214502766
"43",2001-01-07,1,2001,3.22525892857143,4.15488121345031
"44",2001-01-14,2,2001,-2.74845089285714,2.6857628720238
"45",2001-01-21,3,2001,-5.05824107142857,1.35611919642858
"46",2001-01-28,4,2001,3.13827232142857,3.36609821428571
"47",2001-02-04,5,2001,-0.994464285714286,3.49606050595236
"48",2001-02-11,6,2001,5.37966964285714,4.4096331845238
"49",2001-02-18,7,2001,2.87965625,3.71568258928571
"50",2001-02-25,8,2001,-1.49186607142857,3.61910505952376
"51",2001-03-04,9,2001,-3.03702678571429,2.05193035714284
"52",2001-03-11,10,2001,0.702982142857143,3.22947196712015
"53",2001-03-18,11,2001,0.801303571428571,3.15377326494389
