"","year","week","full_date","weeklysm","sd","smAverage","smAnomaly"
"1",2007,1,2007-01-07,45.5700297619048,1.15616189328609,46.2947753759398,-0.724745614035051
"2",2014,1,2014-01-07,47.2594642857143,1.15616189328609,46.2947753759398,0.964688909774452
"3",2004,1,2004-01-07,44.8700892857143,1.15616189328609,46.2947753759398,-1.42468609022555
"4",2006,1,2006-01-07,45.6797023809524,1.15616189328609,46.2947753759398,-0.61507299498745
"5",2005,1,2005-01-07,45.8263392857143,1.15616189328609,46.2947753759398,-0.468436090225552
"6",2012,1,2012-01-07,46.8189285714286,1.15616189328609,46.2947753759398,0.524153195488751
"7",2011,1,2011-01-07,47.1877976190476,1.15616189328609,46.2947753759398,0.893022243107751
"8",2018,1,2018-01-07,45.5306845238095,1.15616189328609,46.2947753759398,-0.764090852130352
"9",2010,1,2010-01-07,46.721875,1.15616189328609,46.2947753759398,0.427099624060148
"10",2020,1,2020-01-07,44.5449285714286,1.15616189328609,46.2947753759398,-1.74984680451125
"11",2001,1,2001-01-07,46.41125,1.15616189328609,46.2947753759398,0.116474624060153
"12",2008,1,2008-01-07,46.0963095238095,1.15616189328609,46.2947753759398,-0.198465852130347
"13",2015,1,2015-01-07,47.3635714285714,1.15616189328609,46.2947753759398,1.06879605263155
"14",2019,1,2019-01-07,43.9470833333333,1.15616189328609,46.2947753759398,-2.34769204260655
"15",2009,1,2009-01-07,45.5938392857143,1.15616189328609,46.2947753759398,-0.700936090225547
"16",2013,1,2013-01-07,47.2477380952381,1.15616189328609,46.2947753759398,0.952962719298249
"17",2017,1,2017-01-07,47.0054464285714,1.15616189328609,46.2947753759398,0.710671052631554
"18",2003,1,2003-01-07,48.6339285714286,1.15616189328609,46.2947753759398,2.33915319548875
"19",2016,1,2016-01-07,47.2917261904762,1.15616189328609,46.2947753759398,0.996950814536348
"20",2014,2,2014-01-14,47.4404166666667,1.16917679197132,46.3315086309524,1.10890803571433
"21",2015,2,2015-01-14,47.6556547619048,1.16917679197132,46.3315086309524,1.32414613095243
"22",2007,2,2007-01-14,45.6414583333333,1.16917679197132,46.3315086309524,-0.690050297619074
"23",2018,2,2018-01-14,45.2102678571429,1.16917679197132,46.3315086309524,-1.12124077380947
