"","day","mod_gpp","mod_gpp_unc95","mod_lai","mod_lai_unc95","mod_nee","mod_nee_unc95","doy","year","obs_gpp","obs_gpp_unc","obs_lai","obs_lai_unc","obs_nee","obs_nee_unc","date"
"11",77,0.243111493392985,0.442502129193837,0.160822985876608,0.295067512784647,1.57337863513282,1.66964974514036,77,2000,0.205401665,1.388414213,NA,-9999,1.411273174,0.607301113,2000-03-17
"12",84,0.433992981881091,0.765101712568274,0.168674190827145,0.301832965136771,1.53174705048242,1.6808787870466,84,2000,0.265760904,1.661419063,NA,-9999,1.78312851,0.646886975,2000-03-24
"13",91,0.256529837564724,0.420813701735512,0.190258225917672,0.316699518270575,1.58719752535047,1.66836132561769,91,2000,0.314372403,1.446061264,NA,-9999,1.762328555,0.592850996,2000-03-31
"14",98,0.730711965464466,1.04416430584044,0.238364365513741,0.345861932974989,1.29284789185435,1.42095984643333,98,2000,1.170819427,1.363932958,NA,-9999,1.304620182,0.66448997,2000-04-07
"15",105,0.989126216764576,1.19116246959658,0.351652987810029,0.42944257377757,1.04319524271547,1.12397006457987,105,2000,1.4013208,1.364591354,NA,-9999,1.426807259,0.634684492,2000-04-14
"16",112,1.83549517881605,1.91372469043872,0.593454346545791,0.621767205428905,0.636080500676755,0.798556468916738,112,2000,1.722529073,1.573777319,NA,-9999,2.195719479,0.724028434,2000-04-21
"17",119,3.35380752152305,3.44998932044827,1.03798647071129,1.08196803210023,-0.343633800798805,-0.210099422269901,119,2000,4.071620639,1.631709582,NA,-9999,2.063105312,0.749082486,2000-04-28
"18",126,5.64645694779091,5.75287157602555,1.71581998966402,1.76545805907304,-2.13972076959289,-1.94099888276477,126,2000,5.560846446,1.394829502,NA,-9999,0.976565498,0.645097548,2000-05-05
"19",133,7.84356833186272,7.97303604941102,2.54553194481236,2.60312692022595,-3.78141033154031,-3.55507674178324,133,2000,9.025321584,1.585930842,NA,-9999,-3.402574412,0.782416399,2000-05-12
"20",140,9.28038916997021,9.42879342844288,3.32244370856125,3.46774676478021,-5.00352451488955,-4.77133247351789,140,2000,10.19902356,1.547856925,NA,-9999,-4.90413113,0.746608656,2000-05-19
"21",147,9.00943152050409,9.19543803880764,3.9155205473032,4.0992043730364,-5.03759644653172,-4.94061870799639,147,2000,10.45389194,1.285056761,NA,-9999,-6.006694648,0.612703833,2000-05-26
"22",154,10.7385643884394,10.8942074102759,4.32576534696984,4.51693961387427,-6.33664750697035,-6.22906878441562,154,2000,12.38894173,1.240120421,NA,-9999,-7.563324836,0.640004734,2000-06-02
"23",161,11.5908614484588,11.7759585344571,4.64662052674781,4.83818900611557,-6.79593860600421,-6.69266472735,161,2000,12.30020354,1.380302222,NA,-9999,-6.116741254,0.676218729,2000-06-09
"24",168,12.810081915841,12.9648924595997,4.93986898724023,5.13405642628952,-7.69404645111033,-7.57867119247474,168,2000,13.67236047,1.494106074,NA,-9999,-8.138561107,0.747376294,2000-06-16
"25",175,12.4823031480571,12.7497069762928,5.21923280976223,5.41510457619221,-7.25804547450219,-6.93802562443852,175,2000,14.67410299,1.325728985,NA,-9999,-8.233667834,0.687310424,2000-06-23
"26",182,11.4292410947612,11.5425507601816,5.46649383747102,5.65760410379047,-6.9358563782039,-6.8133804261262,182,2000,13.72923804,1.195804497,NA,-9999,-9.042090675,0.611954787,2000-06-30
"27",189,10.0306532365655,10.1496146024917,5.65638719631029,5.84117805975303,-5.58817849666656,-5.49231243422491,189,2000,10.63272737,1.344683199,NA,-9999,-5.934682756,0.696592632,2000-07-07
"28",196,9.2052730560679,9.31999481325737,5.77544305420908,5.95862770619275,-5.14345598921007,-5.0432569822722,196,2000,10.11717676,1.210981758,NA,-9999,-6.301644183,0.637464679,2000-07-14
"29",203,9.89119666780624,9.9928451007383,5.83113007858603,6.0216752184157,-5.65000568096183,-5.54812082092957,203,2000,11.07876375,1.176040794,NA,-9999,-7.554958251,0.58565463,2000-07-21
"30",210,10.0996583843372,10.1982970438853,5.84558222386385,6.05066336439348,-5.64439594035787,-5.54748207086074,210,2000,11.50561588,1.3437041,NA,-9999,-6.827348612,0.64262043,2000-07-28
"31",217,11.9798095193062,12.1414858423172,5.81206845252679,6.03395110951003,-7.04669494780184,-6.91900058366085,217,2000,14.50615091,1.353213646,NA,-9999,-8.690304093,0.712894461,2000-08-04
"32",224,11.3328470063307,11.4664753023123,5.74526878164905,5.98635860495998,-6.50901812887663,-6.40309317634901,224,2000,NA,2.116306013,NA,-9999,NA,0.911057024,2000-08-11
"33",231,11.7970109279776,11.8894508288881,5.61238399392441,5.86334237874927,-6.70316551192304,-6.51578936532029,231,2000,11.68157994,1.204375413,NA,-9999,-6.592326439,0.630014997,2000-08-18
"34",238,10.6323575545166,10.8024929650789,5.41463251576915,5.65897365653209,-5.92974598095159,-5.78569505171015,238,2000,11.18875729,1.282175669,NA,-9999,-6.818217549,0.673562554,2000-08-25
"35",245,10.0922706943143,10.2763177906594,5.12663545754692,5.35489686905563,-5.58080123722477,-5.44912359884247,245,2000,NA,2.116306013,NA,-9999,NA,0.911057024,2000-09-01
"36",252,6.45598374877563,6.61190635016296,4.74712667743252,4.94925816742397,-2.89880709004673,-2.80949740258992,252,2000,7.397197391,1.245846731,NA,-9999,-3.803078823,0.615266031,2000-09-08
"37",259,8.00251548247652,8.13752345098258,4.25483912109753,4.41862064241309,-3.83777696451365,-3.74213847406061,259,2000,8.139266032,1.47899962,NA,-9999,-3.89464783,0.735580179,2000-09-15
"38",266,4.48589303782768,4.59057078342299,3.7188702552264,3.8465815661926,-1.39934479245733,-1.32743188983019,266,2000,5.060966861,1.319782341,NA,-9999,-1.738589985,0.63704172,2000-09-22
"39",273,5.68340364637327,5.78301720633053,3.11657824102229,3.21495232348376,-2.21349697177109,-2.12609270168673,273,2000,6.421773608,1.415379107,NA,-9999,-2.858620297,0.699233506,2000-09-29
"40",280,4.15744088155753,4.25841020329126,2.53153638465026,2.62040221645383,-1.03785506587556,-0.949485631064532,280,2000,4.205293261,1.49850938,NA,-9999,-0.535141231,0.7244424,2000-10-06
"41",287,2.47633479674377,2.56647093345791,1.98428355033298,2.07596427501281,0.0646691015431147,0.153698995073491,287,2000,2.950088983,1.176040794,NA,-9999,-0.179019026,0.59680318,2000-10-13
"42",294,1.90733479641832,2.02333398108191,1.49856578603383,1.61096685632671,0.634127869702619,0.725783302787023,294,2000,2.159916574,1.347792703,NA,-9999,1.672505708,0.647722091,2000-10-20
"43",301,1.6104442875676,1.77195454158714,1.10904555396705,1.23658954484802,0.844530359654743,0.938125479098346,301,2000,0.938299439,1.564313733,NA,-9999,2.767470746,0.606545395,2000-10-27
"44",308,0.737136605708923,0.85542538587781,0.811249627922067,0.955456387613487,1.45125270841303,1.52877874969883,308,2000,0.222506706,1.628241008,NA,-9999,2.864362145,0.58565463,2000-11-03
"45",315,0.589082336826345,0.727103257371751,0.587315631140455,0.742226755433501,1.43549373125163,1.51901538722068,315,2000,0.215645205,1.574373404,NA,-9999,2.239757156,0.588688341,2000-11-10
