"","date","year","month","week","doy","gpp_z_scores","temp_z_scores","sm1_z_scores","sm2_z_scores","sm3_z_scores","vpd_z_scores","swr_z_scores"
"1","2000-01-07",2000,"Jan",1,7,-1.0042655407748,0.444748371366026,NA,NA,NA,-0.441380645493195,0.231313897518045
"2","2000-01-14",2000,"Jan",2,14,-0.971110019162957,-0.385002127698845,NA,NA,NA,-0.380841124476261,0.451620802692094
"3","2000-01-21",2000,"Jan",3,21,-0.960666527177572,0.0743879804664817,NA,NA,NA,-0.386486354503744,-0.680500441601356
"4","2000-01-28",2000,"Jan",4,28,-0.919366599624487,-0.783397380191057,NA,NA,NA,-0.527773371345183,0.589319059834852
"5","2000-02-04",2000,"Feb",5,35,-0.882573290819716,0.886146989253707,NA,NA,NA,0.0182947124569871,-0.855318588253555
"6","2000-02-11",2000,"Feb",6,42,-0.206764046157672,1.06446020146857,NA,NA,NA,0.926588675762999,0.890265974371752
"7","2000-02-18",2000,"Feb",7,49,-0.938162755063283,-0.0292785147408319,NA,NA,NA,-0.470835984329378,-0.808427251507014
"8","2000-02-25",2000,"Feb",8,56,-0.965776663774963,-0.0282445170106171,NA,NA,NA,-0.934336243696231,-0.658134817593712
"9","2000-03-03",2000,"Mar",9,63,-0.478347312324085,0.629402828683601,NA,NA,NA,0.0293581176751601,0.505642920163009
"10","2000-03-10",2000,"Mar",10,70,-0.572534748945351,-0.0207014652297368,0.906175217539939,0.00919743569146703,-1.09983683456575,-0.690070848742478,-0.515415113992521
"11","2000-03-17",2000,"Mar",11,77,-0.644462467558346,-0.170904045863475,0.870526879940866,-0.144173441674709,-1.05089222662941,-0.751834642909855,-1.08374462514277
"12","2000-03-24",2000,"Mar",12,84,-0.465592176119078,0.630935838556556,0.886936406831782,0.141310611989877,-0.174389941060741,0.251068999159259,0.369169414460645
"13","2000-03-31",2000,"Mar",13,91,-0.808732931821748,-0.811361439533196,0.709308947030333,0.0984532197208485,-0.041161889113576,-1.35553266816807,-2.21601563171693
"14","2000-04-07",2000,"Apr",14,98,-0.414189463831989,-0.0784115625958132,1.060333135928,0.293271634617687,0.2773149634312,-0.428425479018456,0.430100261192588
"15","2000-04-14",2000,"Apr",15,105,-0.377813322843265,-0.610110557571469,0.827718885735259,0.268043131115256,0.194330450311307,-0.58466345038121,-0.0325878210647435
"16","2000-04-21",2000,"Apr",16,112,-0.252012922896079,0.435750706334324,1.06999583664671,0.425154995901606,0.461630019802545,-0.304977657659743,-0.736361668826092
"17","2000-04-28",2000,"Apr",17,119,0.572496194072509,1.61381818434375,0.912481328965256,0.307466359884083,0.587248439693385,1.08491539873889,0.41089657922165
