"","date","year","month","week","doy","gpp_z_scores","temp_z_scores","sm1_z_scores","sm2_z_scores","sm3_z_scores","vpd_z_scores","swr_z_scores"
"320","2015-02-25",2015,"Feb",8,56,0.682655577309243,0.170314686863673,1.59947154869873,1.22034623750556,1.25010848552385,0.243917822913682,0.177233723907615
"321","2015-03-04",2015,"Mar",9,63,0.851570519751369,0.216118292237356,1.49080145518567,1.02128150180092,0.809825855467176,0.261337006830382,0.562073665985954
"322","2015-03-11",2015,"Mar",10,70,0.784884352599085,0.606123649510264,1.72102040397814,1.05666986401013,1.03237067393926,1.20496430840005,0.559797521121046
"323","2015-03-18",2015,"Mar",11,77,0.537866425287343,-0.160130502836253,1.67701187260909,1.07763200585485,1.34982401101767,-0.432003020961066,0.0841662432519201
"324","2015-03-25",2015,"Mar",12,84,0.639677687249775,0.39288287589326,1.5297662984529,0.934736474985135,0.775175905591864,0.500275467216547,0.237850796335075
"325","2015-04-01",2015,"Apr",13,91,0.196244053576543,-0.583255908475652,1.53863240680488,0.957526667290803,0.886459662123667,-0.821617043001652,-1.0424223347107
"326","2015-04-08",2015,"Apr",14,98,0.262202008356678,-0.887870724675729,1.93926076470949,1.30941846639522,1.37493783380767,-0.502749677856337,0.506721422168102
"327","2015-04-15",2015,"Apr",15,105,0.919074940495182,1.30586814420178,1.370393408506,1.07150418085709,0.96846195647514,1.46960115443149,1.47613621457619
"328","2015-04-22",2015,"Apr",16,112,0.453121770435889,-0.157713616681036,0.76811534178041,0.720230790020334,0.875069677052659,0.258577305149221,0.654845723250143
"329","2015-04-29",2015,"Apr",17,119,0.689063113257686,-0.0872849489022977,0.344342201840448,0.492463063965862,0.956876971134691,0.060612781864918,0.362686874087729
"330","2015-05-06",2015,"May",18,126,0.869510542186296,0.373855483338363,0.638719892699324,0.309522208018091,0.339784386598172,0.376702476541496,0.366214132430939
"331","2015-05-13",2015,"May",19,133,0.69445304204215,0.669093183023186,0.170425299585927,0.0144528947347592,-0.364625524481795,0.875868737637083,0.697190442243411
"332","2015-05-20",2015,"May",20,140,1.37662594773365,-0.260539027775272,-0.398080451221522,-0.342329969252911,-0.550413683784716,0.771420738334031,1.21183368984963
"333","2015-05-27",2015,"May",21,147,-0.159875941439077,-0.894696361275562,-0.843851595331138,-0.480148287068563,-0.462130870477407,-0.165277868171988,-0.579584364433312
"334","2015-06-03",2015,"Jun",22,154,-0.0875442343719085,-0.243008844088903,-0.851809309239103,-0.38996665668312,-0.364639696044198,-0.102810308351119,-0.440465530396079
"335","2015-06-10",2015,"Jun",23,161,1.06399392239428,0.0632700906796714,-1.14329007912108,-0.585454681432547,-0.444265926000439,0.966112474075047,0.647363015841634
"336","2015-06-17",2015,"Jun",24,168,0.527891279570887,0.160224354474208,-1.41094878817217,-0.530623980040346,-0.882322064748598,1.08666666085499,0.606238469414745
"337","2015-06-24",2015,"Jun",25,175,-2.22715425613838,-1.80514207175859,-1.01990060657184,-0.269573954299936,-0.789652584471105,-1.35274169125479,-1.86145582026886
"338","2015-07-01",2015,"Jul",26,182,0.251212303376295,0.731766915280896,-0.808575349148352,-0.0798286770213097,-0.364595342869905,1.08130395346439,0.500306307039386
"339","2015-07-08",2015,"Jul",27,189,-0.336479094090197,2.5622539431463,-0.968383975931802,-0.265024847017685,-0.235220303881549,2.59382479411898,1.24763326168003
"340","2015-07-15",2015,"Jul",28,196,0.0282226361261362,-0.210778939414022,-0.972090304432783,-0.391759396870031,-0.21739147004251,-0.228601708106347,-0.274451202347255
"341","2015-07-22",2015,"Jul",29,203,-0.107664659117051,1.09415808035824,-0.773286061178933,-0.233142931538991,0.0424000569195472,0.416454857256979,0.0800905001625935
"342","2015-07-29",2015,"Jul",30,210,0.229001677884965,-0.908538002381724,-0.746926395041823,-0.147039503980253,-0.000674099523281755,-0.47690015524651,-0.108074362961756
"343","2015-08-05",2015,"Aug",31,217,0.389457400710919,0.329876773162021,-0.649177858713713,0.243820747131353,-0.110002598590974,0.888949681418808,1.78438060400141
"344","2015-08-12",2015,"Aug",32,224,-0.40499288731963,1.65176786466228,-0.756925084881255,0.129606032140919,-0.204388641423805,1.10703657598604,1.24893436903972
"345","2015-08-19",2015,"Aug",33,231,-0.955824269763667,-0.249555107926531,-0.625838534740131,0.197728237016243,-0.150946180936476,-0.5302883826987,-1.66931306776871
"346","2015-08-26",2015,"Aug",34,238,0.332350111915579,-0.324440054658571,-0.570965739806262,0.402529811179294,-0.0142548488921455,0.231889332951489,0.289234365492877
"347","2015-09-02",2015,"Sep",35,245,0.131912389694247,1.32307341493418,-0.517421589736065,0.497474985239857,0.125805888005502,0.8255840167364,0.0478529988802769
"348","2015-09-09",2015,"Sep",36,252,-0.307005848936151,-1.27403070404702,-0.552477265482794,0.751586691758042,0.0246084376177902,-0.862430668665985,-0.197851513555291
"349","2015-09-16",2015,"Sep",37,259,-0.644900017630283,-0.198849697789313,-0.555066603222711,0.369356289921585,-0.0422672229565002,-0.513812038292103,-0.768927804202749
"350","2015-09-23",2015,"Sep",38,266,-0.435551861899119,-0.550481538770434,-0.386079673010048,0.443585416908995,0.0878531218411733,-0.816719039030357,-0.864188758314691
"351","2015-09-30",2015,"Sep",39,273,0.556745523121614,-0.538143847850528,-0.544613936052871,0.202453799921106,0.0256093989776346,0.357481611645883,1.15082112532058
"352","2015-10-07",2015,"Oct",40,280,1.60511540335211,0.728221578460593,-0.757080942601406,-0.0336868017786933,-0.18775121759002,0.567594474993871,1.47687405995539
"353","2015-10-14",2015,"Oct",41,287,-0.533335890647567,-1.47358720151207,-0.758503357274144,-0.0528538709717669,-0.448329646006546,-0.913517665073703,-0.384066700003738
"354","2015-10-21",2015,"Oct",42,294,-1.58815053166727,-1.3817268027852,-0.260335224516927,0.0941008372594278,0.636229457929962,-1.13754661220615,-2.15923008431644
"355","2015-10-28",2015,"Oct",43,301,1.14143609564869,-0.304612845887873,-0.262521739356778,-0.0571077752724198,0.594085448159582,-0.634960843599241,0.0661658013425497
