"","year","week","sm_z_scores","order","temp_z_scores","X","AverageWeeklyMeanT","sd","WeeklyMeanT"
"190",2009,36,-0.239072295757192,399,-0.00496609401686676,1125,13.9749464285714,2.75079654942165,13.9612857142857
"191",2010,18,0.81704618250574,400,-0.464467206781573,552,10.3428080357143,3.29337605806647,8.81314285714286
"192",2010,19,1.06488820835548,401,-1.15058045865843,579,11.5140133928571,3.52618212787187,7.45685714285714
"193",2010,20,1.24773613099194,402,-1.21782870688821,620,11.6772723214286,3.33707571857719,7.61328571428571
"194",2010,21,0.998350742707245,403,-0.0510111795724593,648,12.9821517857143,3.36078289968734,12.8107142857143
"195",2010,22,0.854100081510029,404,-0.498392590959595,679,13.59275,3.54374965331655,11.8265714285714
"196",2010,23,0.789686705836934,405,0.807638343400121,720,14.6589910714286,3.749213931354,17.687
"197",2010,24,0.737893264569185,406,-0.174233257985122,744,14.4680580357143,2.89136716637427,13.9642857142857
"198",2010,25,0.352078561757835,407,-0.730995956159273,769,15.2339508928571,3.38337932830359,12.7607142857143
"199",2010,26,0.0582207151037092,408,0.874631000194365,812,16.0508928571429,3.12715550014725,18.786
"200",2010,27,-0.16993266435518,409,1.0487815519462,848,16.6393482142857,3.20597369889768,20.0017142857143
"201",2010,28,-0.330976576496236,410,2.21185066456415,880,16.3221116071429,3.18881117072731,23.3752857142857
"202",2010,29,-0.415219884263838,411,0.803246504760064,906,17.1289151785714,3.29779457313289,19.7778571428571
"203",2010,30,-0.461952423844314,412,-0.741218365965792,938,17.7828883928571,3.26204598250428,15.365
"204",2010,31,-0.284789730599607,413,-0.45072709848224,970,18.0801339285714,3.07501163363736,16.6941428571429
"205",2010,32,-0.161680543395599,414,-0.385053242344692,998,17.7713482142857,3.28839032605605,16.5051428571429
"206",2010,33,0.521187259083153,415,-0.769134364981453,1048,16.7994151785714,2.70580741030325,14.7182857142857
"207",2010,34,1.27153761287646,416,0.2474023727079,1070,16.6523035714286,3.04874948807924,17.4065714285714
"208",2010,35,1.53745869988358,417,-0.939016154889937,1107,14.8696160714286,3.1513701703533,11.9104285714286
"209",2010,36,1.5423203184214,418,-0.868663972130251,1138,13.9749464285714,2.75079654942165,11.5854285714286
"210",2011,18,-0.432767788870949,419,-0.77435329648935,565,10.3428080357143,3.29337605806647,7.79257142857143
"211",2011,19,-0.965765269411891,420,0.863982042116743,587,11.5140133928571,3.52618212787187,14.5605714285714
"212",2011,20,-1.20682699441233,421,0.269786838258095,634,11.6772723214286,3.33707571857719,12.5775714285714
"213",2011,21,-1.38703972126266,422,0.329724936613576,661,12.9821517857143,3.36078289968734,14.0902857142857
"214",2011,22,-1.29647283619251,423,0.384368896257195,689,13.59275,3.54374965331655,14.9548571428571
"215",2011,23,-1.00189792769674,424,0.533028399176539,726,14.6589910714286,3.749213931354,16.6574285714286
"216",2011,24,-1.30839474402954,425,0.353495340652387,757,14.4680580357143,2.89136716637427,15.4901428571429
"217",2011,25,-1.2459975591234,426,-0.442695864216087,782,15.2339508928571,3.38337932830359,13.7361428571429
"218",2011,26,-0.4273377976006,427,-0.0380194899605418,820,16.0508928571429,3.12715550014725,15.932
"219",2011,27,0.350824655650416,428,-0.537498282576459,846,16.6393482142857,3.20597369889768,14.9161428571429
