doy,mint_C,maxt_C,airt_C,co2_ppm,swrad_MJm2day,vpd_kPa,precip_kgm2s,wind_spd_ms,SWC_1,SWC_1_unc,SWC_2,SWC_2_unc,SWC_3,SWC_3_unc
7,0.688571428571429,3.46714285714286,1.90532738095238,375.321648809524,1.76687794285714,0.0442946428571429,8.92857142857143E-06,3.82159523809524,NA,NA,NA,NA,NA,NA
14,-2.43428571428571,0.631428571428571,-0.62327380952381,378.907886904762,2.45359208571429,0.0584625,1.48809523809524E-06,2.91092261904762,NA,NA,NA,NA,NA,NA
21,-1.74142857142857,1.73285714285714,0.136636904761905,378.994145833333,1.79175728571429,0.0593901785714286,2.29828042328042E-05,4.36436904761905,NA,NA,NA,NA,NA,NA
28,-7.19142857142857,-2.79,-5.1264880952381,382.213517857143,3.22076237142857,0.0392110119047619,1.10780423280423E-05,3.466375,NA,NA,NA,NA,NA,NA
35,2.72,5.84285714285714,4.18756845238095,379.262360119048,2.18568162857143,0.0944666666666667,6.0515873015873E-05,5.44415773809524,NA,NA,NA,NA,NA,NA
42,2.80285714285714,7.48428571428571,4.90845238095238,374.786705357143,4.91423785714286,0.192944047619048,1.50462962962963E-05,4.82321726190476,NA,NA,NA,NA,NA,NA
49,-1.12714285714286,2.22714285714286,0.547202380952381,373.276577380952,3.86524028571429,0.0646467261904762,4.48082010582011E-05,4.13684523809524,NA,NA,NA,NA,NA,NA
56,-1.27285714285714,2.55857142857143,0.271071428571429,377.330032738095,4.07368182857143,0.0447068452380952,5.19179894179894E-05,3.26439583333333,NA,NA,NA,NA,NA,NA
63,0.8,6.6,3.49452380952381,368.7214375,7.55192442857143,0.166722916666667,3.125E-05,4.59588095238095,NA,NA,NA,NA,NA,NA
70,1.12142857142857,5.26571428571429,3.2403869047619,367.985005952381,6.70923668571429,0.123569047619048,5.39021164021164E-05,5.14690773809524,44.2734666666667,4.54626532951243,37.9005777777778,3.79057930887371,45.3576,4.55869754771724
77,1.41571428571429,5.93028571428571,3.92208035714286,370.970375,5.82909942857143,0.134207738095238,4.18320105820106E-05,4.22263988095238,44.5441810790357,4.45796585930779,38.7384149883932,3.87442772930352,45.7078476280664,4.571453453725
84,2.59142857142857,9.69857142857143,5.88345238095238,373.872101190476,11.5669761428571,0.287284821428571,2.95965608465608E-05,2.3396994047619,44.641125,4.4641125,40.3539880952381,4.0357523795701,46.5016071428571,4.65016071428571
91,2.39571428571429,6.26285714285714,4.14991071428571,372.205380952381,4.83359785714286,0.0916196428571429,2.69510582010582E-05,3.02174702380952,44.362693452381,4.4362693452381,40.0360416666667,4.00396054434235,46.5441369047619,4.65441369047619
98,1.78857142857143,10.1357142857143,5.94675595238095,370.4339375,14.9813781428571,0.321456845238095,1.15740740740741E-05,2.74225892857143,44.4434375,4.44434375,39.8511607142857,3.98547410229421,46.6103273809524,4.66103273809524
105,1.93,8.46,5.20240773809524,371.103863095238,13.5195060857143,0.2725875,1.47156084656085E-05,3.0604494047619,43.7165327380952,4.37165327380952,38.9480654761905,3.8951728794337,46.5719940476191,4.65719940476191
112,7.41857142857143,14.3071428571429,10.4289880952381,370.525791666667,13.7238924857143,0.442361904761905,1.66997354497355E-05,2.83510714285714,44.5980119047619,4.45980119047619,39.3667559523809,3.93703803124161,46.6942559523809,4.66942559523809
119,10.3885714285714,19.6757142857143,15.2814285714286,377.370794642857,17.5787331428571,0.7394375,1.32275132275132E-06,2.64969345238095,43.0634553571429,4.30634553571429,37.2,3.72038354438082,46.6183333333333,4.66183333333333
126,11.5914285714286,18.4685714285714,14.7216369047619,381.541080357143,18.0578859428571,0.500890178571429,1.24007936507937E-05,2.32383630952381,43.8288988095238,4.38288988095238,37.5476488095238,3.75514487450657,46.6119642857143,4.66119642857143
133,13.2028571428571,20.61,17.1409226190476,371.956491071429,23.3228118857143,0.770483630952381,1.81878306878307E-06,2.70709226190476,42.5463601190476,4.25463601190476,36.8399107142857,3.68437836434656,46.5812797619048,4.65812797619048
140,10.7157142857143,19.3285714285714,15.2628571428571,363.724139880952,22.5896364,0.902919047619048,9.92063492063492E-06,2.86535714285714,39.4023273809524,3.94023273809524,31.5913988095238,3.15959150915485,46.4126488095238,4.64126488095238
147,7.11857142857143,13.9614285714286,10.621369047619,369.83755952381,15.8910711428571,0.288480654761905,2.9265873015873E-05,3.11779761904762,41.4842976190476,4.14842976190476,33.2759523809524,3.32802400620754,46.2145238095238,4.62145238095238
154,7.97285714285714,15.7271428571429,11.982380952381,369.506494047619,18.8048648571429,0.504613095238095,1.62037037037037E-05,3.41841666666667,42.5365059523809,4.25365059523809,35.0094940476191,3.50135694438632,46.2293452380952,4.62293452380952
161,11.8085714285714,19.5328571428571,15.338005952381,367.154205357143,18.9709187142857,0.425421130952381,6.77910052910053E-05,2.6453005952381,43.370875,4.3370875,37.611994047619,3.76157874830249,46.6693363095238,4.66693363095238
168,13.0028571428571,20.3742857142857,16.7831547619048,363.506636904762,21.1482218571429,0.612158333333333,2.24867724867725E-05,2.69431845238095,42.5823303571429,4.25823303571429,38.7833928571429,3.87870717281086,46.6819047619048,4.66819047619048
175,15.3771428571429,23.99,20.1100595238095,352.298151785714,25.3199044285714,1.44665744047619,1.65343915343915E-06,2.7448244047619,38.4418571428571,3.84418571428571,31.2477678571429,3.12523337973958,46.3582142857143,4.63582142857143
182,7.80857142857143,13.5528571428571,10.5216369047619,365.369979166667,18.1372407428571,0.389969345238095,8.5978835978836E-06,3.23371726190476,33.3992113095238,3.33992113095238,23.8948511904762,2.39008218508268,45.6137797619048,4.56137797619048
189,12.0171428571429,18.3628571428571,14.8309226190476,363.566068452381,13.4429829428571,0.260755952380952,6.63029100529101E-05,2.94841071428571,37.6795446428571,3.76795446428571,30.8740773809524,3.08786985777412,46.1633333333333,4.61633333333333
196,8.87,13.6457142857143,11.17875,361.887770833333,12.4096654285714,0.21631755952381,4.31547619047619E-05,3.8365625,42.564505952381,4.2564505952381,39.6879464285714,3.96915414597004,46.6608630952381,4.66608630952381
203,9.16,14.5442857142857,11.7180952380952,360.682077380952,13.7250455142857,0.275575892857143,3.47222222222222E-06,3.10621428571429,41.2404166666667,4.12404166666667,38.305744047619,3.83094687873855,46.5739880952381,4.65739880952381
