"","day","mod_gpp","mod_gpp_unc95","mod_lai","mod_lai_unc95","mod_nee","mod_nee_unc95","doy","year","obs_gpp","obs_gpp_unc","obs_lai","obs_lai_unc","obs_nee","obs_nee_unc","date"
"1",7,0.162954550521691,0.191163777611752,0.342079034872339,0.392347396405164,1.47023680867459,1.62300271798288,7,2015,0.13661539,1.485410822,NA,-9999,1.721260129,0.59634885,2015-01-07
"2",14,0.146673273211042,0.168594889959781,0.32697504840694,0.377162053440317,1.59741903108826,1.75534001363222,14,2015,0.12169516,1.613666311,NA,-9999,1.433053982,0.58,2015-01-14
"3",21,0.195764505645235,0.232561503483964,0.315921181172679,0.366335717784532,1.45052026581856,1.61092575105039,21,2015,0.093569162,1.556849407,NA,-9999,1.410863603,0.606545395,2015-01-21
"4",28,0.154337176303806,0.181957266153677,0.308023833239806,0.359162722555026,1.42635607269316,1.57301246762997,28,2015,0.238257256,1.496834513,NA,-9999,1.166392231,0.58,2015-01-28
"5",35,0.220112793697998,0.260660096976608,0.301659710755798,0.353331660290436,1.36684763467145,1.52499853113999,35,2015,0.142610424,1.530676764,NA,-9999,1.074416045,0.58,2015-02-04
"6",42,0.269565163636781,0.321351816588525,0.297898177201361,0.347229391238237,1.32838608102395,1.52039292286466,42,2015,0.274416913,1.583311075,0.1,0.25,1.011000624,0.58565463,2015-02-11
"7",49,0.359166159021921,0.429454898889563,0.29521692257816,0.343228347475394,1.31033421674013,1.56290596150352,49,2015,0.183086518,1.433563529,0.54,0.25,1.230957377,0.649658645,2015-02-18
"8",56,0.39615025832306,0.45717753737929,0.294609417777258,0.342698767583579,1.30614578791203,1.44539595351332,56,2015,0.287804654,1.593285813,0.65,0.25,1.215806978,0.59680318,2015-02-25
"9",63,0.526129748094482,0.607724394649806,0.295820852331396,0.343777445406523,1.2491540782589,1.39535817948221,63,2015,0.272580685,1.588021865,NA,-9999,1.343465756,0.58,2015-03-04
"10",70,0.554271028842083,0.641055266051592,0.299071589534198,0.347682784723969,1.30060647246291,1.45700048826531,70,2015,0.258510838,1.498359233,0.5,0.25,1.686595555,0.624212875,2015-03-11
"11",77,0.517099021122659,0.597952236343238,0.303915002143054,0.352840192079877,1.28092564338864,1.43554130663203,77,2015,0.364469674,1.411126375,0.5,0.25,1.452206085,0.627150742,2015-03-18
"12",84,0.677926192427512,0.782081503013419,0.309942600196248,0.359121382698675,1.20988964468164,1.36616856474907,84,2015,0.910954777,1.447240453,0.7,0.25,2.015321304,0.663779943,2015-03-25
"13",91,0.594780162757753,0.683414280595704,0.322807552276258,0.371937360694593,1.25313155135667,1.40902261116651,91,2015,0.515094062,1.460254612,0.52,0.25,1.469545277,0.58,2015-04-01
"14",98,0.874608223239964,0.987853387715581,0.351039983486138,0.398713984569526,1.03051505453471,1.17206305278091,98,2015,0.73715997,1.354125931,0.66,0.25,1.303758428,0.666801516,2015-04-08
"15",105,1.45652497973667,1.60735527881784,0.423792135893914,0.471075395709623,0.847710046680111,1.0114168688868,105,2015,1.765440907,1.358774115,0.95,0.25,1.841923679,0.652075653,2015-04-15
"16",112,1.96436513330554,2.13176509308744,0.608607791055444,0.663101316394615,0.395887482853457,0.544199156213947,112,2015,NA,2.116306013,1.22,0.25,NA,0.911057024,2015-04-22
"17",119,3.12544629171959,3.29993472612527,1.01366038774092,1.0796977290496,-0.394201101900436,-0.245495398615228,119,2015,NA,2.116306013,1.3,0.26,NA,0.911057024,2015-04-29
"18",126,5.15617604797952,5.3380911215869,1.76161629606539,1.83451816242016,-1.83546301906788,-1.67263272400411,126,2015,6.251290541,1.356420921,2.9,1.66,-0.98202307,0.706210229,2015-05-06
"19",133,7.43775960973441,7.62970512148416,2.84065711287934,2.92823633801426,-3.41455483370224,-3.2564384592069,133,2015,7.969400301,1.363772495,4.54,0.92,-2.438786432,0.622632598,2015-05-13
"20",140,9.55327605081724,9.6961888783742,3.97624227651778,4.07056649082878,-5.06848014408482,-4.87055448609632,140,2015,9.923524489,1.260537514,6.04,1.85,-4.194836925,0.657533606,2015-05-20
"21",147,9.27251301918345,9.37125997686395,4.87429805591386,4.9652770332801,-4.85420068084544,-4.67464214314013,147,2015,10.0138251,1.180778334,4.63,0.94,-4.53084495,0.629470459,2015-05-27
"22",154,10.6755361183478,10.7759038875317,5.46069245526221,5.54087144342351,-5.82185945803328,-5.60124012565035,154,2015,10.41869712,1.101010403,NA,-9999,-5.363993794,0.58565463,2015-06-03
"23",161,12.2773193608642,12.4019385708567,5.86005361982718,5.94247537923107,-6.88457389931003,-6.61831379826452,161,2015,12.79090853,1.270642312,2.67,0.87,-7.059433138,0.644422283,2015-06-10
"24",168,12.4174351948097,12.5309520281208,6.19670983296101,6.28116163292935,-6.97963540551834,-6.70620110291773,168,2015,13.79773368,1.386824806,3.2,1.63,-7.609030007,0.682885817,2015-06-17
"25",175,9.56044895320415,9.63459008130611,6.48869248404561,6.57831875354099,-5.06015688806083,-4.86680585043372,175,2015,NA,2.116306013,NA,-9999,NA,0.911057024,2015-06-24
"26",182,13.1782151630359,13.2881507800756,6.67601943177398,6.76855950852122,-7.41890155514126,-7.1356094566123,182,2015,NA,2.116306013,6.8,1.36,NA,0.911057024,2015-07-01
"27",189,11.9496195888942,12.0393975922044,6.80546299473276,6.90247607828568,-6.27499367767122,-6.00729976147258,189,2015,11.74397726,1.193429781,6.48,1.34,-5.870523564,0.678651721,2015-07-08
"28",196,11.2773205513989,11.3654030233894,6.83991079434561,6.93427784054542,-6.12719734272421,-5.88818140332128,196,2015,11.8362835,1.348853074,4.77,0.96,-7.457642173,0.677226331,2015-07-15
"29",203,11.092256560274,11.2113414328407,6.78086236623221,6.877750588495,-5.71872757482664,-5.4851876853178,203,2015,12.26202961,1.544658019,NA,-9999,-7.29092485,0.731812054,2015-07-22
"30",210,11.4801053767026,11.5648551740866,6.63805426859246,6.74603021269338,-6.27472333057177,-6.04660342408573,210,2015,11.59359263,1.338967401,4.94,1.01,-7.650399462,0.661834165,2015-07-29
"31",217,11.8501256009637,11.9431314243243,6.43041073120502,6.55577605262268,-6.4311260128511,-6.17567184360035,217,2015,10.29961894,1.381694472,6.8,1.36,-7.082967066,0.697339653,2015-08-05
"32",224,8.23882686623691,8.447169697767,6.16102268732547,6.31529397417919,-3.54949767620948,-3.31369956350752,224,2015,8.259117594,1.246563273,6.52,1.34,-5.054380233,0.601849895,2015-08-12
"33",231,6.53022757716959,6.65061521072506,5.78859756705223,5.95301281266408,-2.52737086436908,-2.29718266149414,231,2015,6.902698586,1.305226135,5.68,1.41,-3.531070243,0.626609497,2015-08-19
"34",238,9.75499927287816,9.86977726220774,5.34234292354648,5.52183701922657,-4.92701219606871,-4.7218600868107,238,2015,8.223933386,1.359616893,5.78,1.25,-4.641466936,0.67624448,2015-08-26
"35",245,8.73008091342747,8.83312999659479,4.90063205844045,5.08762965932956,-4.06020235180193,-3.87970593306906,245,2015,8.612528954,1.461498975,6.18,1.76,-4.902140423,0.717893393,2015-09-02
"36",252,7.05947515386199,7.1933821115008,4.42374580900667,4.60435300639855,-3.17646533236066,-3.02564543511976,252,2015,8.289110137,1.114947873,4.99,2.01,-5.751164622,0.606545395,2015-09-09
"37",259,5.45625307161263,5.57058524161888,3.92174338051256,4.07783900529788,-1.90982330382482,-1.77431255340798,259,2015,6.535155647,1.223667304,2.08,0.82,-3.550711333,0.614159114,2015-09-16
"38",266,4.95011118700328,5.04280653784136,3.41447965971065,3.53908215685511,-1.59658263666013,-1.46618819181364,266,2015,7.587379959,1.152993548,5.21,1.05,-4.140372458,0.58565463,2015-09-23
"39",273,5.14023779147489,5.24472957142906,2.93275989633418,3.03203085304111,-1.78485499335779,-1.6443787635701,273,2015,6.814216439,1.375060003,3.03,2.11,-3.779813889,0.607301113,2015-09-30
"40",280,4.35192596040431,4.45192839587322,2.50091308776516,2.58485229952906,-1.15000565086669,-1.01438218569227,280,2015,5.248510808,1.436878452,4.57,0.93,-2.160444877,0.701581311,2015-10-07
"41",287,2.49926423842215,2.56692128040794,2.12177241467545,2.19710194748346,-0.0810255696209738,0.0405605463824957,287,2015,2.364595447,1.258769032,4.69,1.07,0.156457666,0.591255182,2015-10-14
"42",294,1.01681976553294,1.05637430192597,1.7781159354891,1.84748953590229,1.02880526425561,1.1763075007244,294,2015,1.166067341,1.670894829,3.19,0.71,1.420104498,0.59680318,2015-10-21
"43",301,1.60895009616713,1.67187154556653,1.4767766601651,1.54197626270123,0.690349826726088,0.844403152658491,301,2015,1.559098886,1.279579955,0.3,0.25,1.540707618,0.601849895,2015-10-28
"44",308,1.66268397369656,1.73899015751239,1.24263457828862,1.30387048639337,0.734869358507747,0.89630270878083,308,2015,0.661396216,1.489630979,0.9,0.25,4.107251081,0.659315524,2015-11-04
"45",315,1.22588975955771,1.2889475335764,1.06042955819139,1.12000975180062,1.17577217053643,1.35788688542471,315,2015,0.422064387,1.53293376,0.77,0.25,3.940171903,0.58,2015-11-11
"46",322,0.637740505784973,0.673198809433816,0.91499551774475,0.970813622259121,1.43877214149795,1.60909404094699,322,2015,0.204940546,1.556267799,0.67,0.25,3.304671177,0.58565463,2015-11-18
"47",329,0.403834042736743,0.4265057278746,0.795917020245852,0.846515623328243,1.3641725729924,1.50852245748908,329,2015,0.33277211,1.387973772,NA,-9999,2.25009052,0.58,2015-11-25
"48",336,0.396349303237449,0.426942904888106,0.701382732255406,0.74913214704408,1.43629988626395,1.59044110409021,336,2015,0.344120398,1.365496038,NA,-9999,2.516449835,0.588688341,2015-12-02
"49",343,0.40995527295036,0.438086844854492,0.628250845798367,0.674849939939272,1.50270540994168,1.6545267759466,343,2015,0.358031874,1.555650546,NA,-9999,2.500684235,0.621327705,2015-12-09
"50",350,0.293228714721226,0.314026758667873,0.573723412855358,0.617536447941864,1.50990557369703,1.66301122078319,350,2015,0.335775798,1.54054516,NA,-9999,2.915070165,0.58565463,2015-12-16
"51",357,0.195634415354427,0.209682505422903,0.531955501366476,0.572174753234505,1.75242744157769,1.91666910421398,357,2015,0.353828477,1.416483646,NA,-9999,3.479316129,0.58,2015-12-23
"52",364,0.343194546698141,0.367644820014752,0.497173741910768,0.535927391660983,1.5408551200743,1.69827794851528,365,2015,0.282505222,1.521386042,NA,-9999,1.818464905,0.59634885,2015-12-30
"53",371,0.162248810564899,0.174766126345712,0.467174555242587,0.505172664719972,1.39783406405886,1.53310472984699,7,2016,0.084421675,1.47376292,NA,-9999,0.435684257,0.588688341,2016-01-06
"54",378,0.306581736704299,0.330804185510694,0.447449828523762,0.483800695169784,1.44193874298202,1.58987311067734,14,2016,NA,2.116306013,NA,-9999,NA,0.911057024,2016-01-13
"55",385,0.304964250154347,0.329473821254744,0.43391725160777,0.471114682341506,1.22828879855523,1.36044635224243,21,2016,NA,2.116306013,NA,-9999,NA,0.911057024,2016-01-20
"56",392,0.346755862574735,0.374839783543606,0.424141982933335,0.459114202280895,1.42860977676777,1.57532921294117,28,2016,NA,2.116306013,NA,-9999,NA,0.911057024,2016-01-27
"57",399,0.25841189124793,0.280406882102989,0.416890477734756,0.452619632874848,1.5083552211452,1.65900822978196,35,2016,NA,2.116306013,0.3,0.25,NA,0.911057024,2016-02-03
"58",406,0.362006541544464,0.391923041503714,0.411034514609384,0.446959427844021,1.45387064957861,1.59979156823643,42,2016,NA,2.116306013,0.46,0.25,NA,0.911057024,2016-02-10
"59",413,0.36722718877641,0.398155085572316,0.407749590660531,0.444094644493588,1.29618656880316,1.43642083174988,49,2016,0.120081312,1.512009082,0.33,0.25,0.489861321,0.682883025,2016-02-17
