"","day","mod_gpp","mod_gpp_unc95","mod_lai","mod_lai_unc95","mod_reco","mod_reco_unc95","doy","year","obs_gpp","obs_gpp_unc","obs_lai","obs_lai_unc","obs_reco","obs_reco_unc","date"
"1",7,0,0.143250085828491,0.223069116154037,0.325526940449733,1.68736211700872,1.8060127412127,7,2000,0.061201955,1.572188903,NA,-9999,1.292079949,1.000011313,2000-01-07
"2",14,0,0,0.174570128494066,0.253479858173527,1.54881177009693,1.67941826285628,14,2000,0.069064902,1.621375722,NA,-9999,1.231262492,1.000143033,2000-01-14
"3",21,0,0,0.141833415935052,0.206286997678114,1.58465941650527,1.7114376021823,21,2000,0.127633315,1.395783813,NA,-9999,1.190141294,1.003230364,2000-01-21
"4",28,0,0,0.119706634727623,0.174134734653417,1.37455135752507,1.53305624659711,28,2000,0.135436801,1.559048699,NA,-9999,1.019795705,1.00044081,2000-01-28
"5",35,0.016749260877498,0.0985050138561849,0.103297883397034,0.151228789684173,1.78501153405695,1.90512685921762,35,2000,0.21645225,1.50974594,NA,-9999,1.462609297,1.000077325,2000-02-04
"6",42,0.136084405002099,0.198793139641139,0.0926283100537877,0.135272027285566,1.84641107645902,1.97340386140198,42,2000,0.23129387,1.516380249,NA,-9999,1.638284631,1.000131865,2000-02-11
"7",49,0,0.0478784060099049,0.0859783437996103,0.127016094408668,1.60052353036745,1.72852975188336,49,2000,0.163994886,1.536034001,NA,-9999,1.198041334,1.000011313,2000-02-18
"8",56,0,0.0567959272301981,0.0798062358477048,0.119043936120499,1.60146024708525,1.72958069012413,56,2000,0.186513078,1.527202886,NA,-9999,1.260506383,1.001415391,2000-02-25
"9",63,0.158484765067228,0.234192793578574,0.0754280907121721,0.111856834542766,1.7744466299992,1.9005783200713,63,2000,0.230059067,1.593706834,NA,-9999,1.323515825,1.000098374,2000-03-03
"10",70,0.141899141090023,0.210589549345286,0.07452371131494,0.110753230038301,1.74298821281028,1.87004140571517,70,2000,0.150321341,1.61628188,NA,-9999,1.290849218,1.000081322,2000-03-10
"11",77,0.130889382884963,0.193403241805321,0.0761164124155257,0.111603893068281,1.76210703773788,1.8869407029334,77,2000,0.205401665,1.388414213,NA,-9999,1.52580706,1.000055632,2000-03-17
"12",84,0.257775738863502,0.361349215263453,0.0833037636217836,0.117097807380957,1.9070082357662,2.03538558598348,84,2000,0.265760904,1.661419063,NA,-9999,1.9765463,1.000135699,2000-03-24
"13",91,0.154860850790505,0.200545678935305,0.103422807772714,0.133917071432736,1.79203892832697,1.91543861292941,91,2000,0.314372403,1.446061264,NA,-9999,2.178893796,1.003230364,2000-03-31
"14",98,0.556318205108799,0.660753233440589,0.147200507506902,0.176430947011153,1.95462889161003,2.07595026755056,98,2000,1.170819427,1.363932958,NA,-9999,2.517030372,1.006126308,2000-04-07
"15",105,0.852645621658976,0.950809906305559,0.247985774386393,0.278535351660811,1.98010684129889,2.09821650281595,105,2000,1.4013208,1.364591354,NA,-9999,2.748606719,1.000114007,2000-04-14
"16",112,1.63539011002859,1.74848157886758,0.448802199573023,0.482012721925589,2.45110842466774,2.57639035872705,112,2000,1.722529073,1.573777319,NA,-9999,3.848124611,1.00030651,2000-04-21
"17",119,3.07129607310035,3.19417195815364,0.800994798438481,0.836958201160202,3.01137241486758,3.18682277958903,119,2000,4.071620639,1.631709582,NA,-9999,5.926141685,1.001734996,2000-04-28
"18",126,5.22080895792169,5.34100708058,1.32310056903217,1.36257303511843,3.47838604979291,3.63032273941018,126,2000,5.560846446,1.394829502,NA,-9999,5.679202156,1.019780063,2000-05-05
"19",133,7.2404958562667,7.36337930801627,1.95233481617216,2.00405481217026,4.04105650151719,4.21123081363937,133,2000,9.025321584,1.585930842,NA,-9999,5.778329763,1.001826529,2000-05-12
"20",140,8.6157739110378,8.71499464220744,2.54961718972999,2.61597105764711,4.21361945469446,4.35665113591424,140,2000,10.19902356,1.547856925,NA,-9999,5.625680646,1.00037941,2000-05-19
"21",147,9.20217931974921,9.30164787737968,3.02413335334016,3.09003979000753,4.06422741337738,4.22173439994102,147,2000,10.45389194,1.285056761,NA,-9999,3.965501673,1.000055632,2000-05-26
"22",154,11.2454247035892,11.3534786193402,3.3757596856033,3.45037427101839,4.58353459501034,4.76515086188901,154,2000,12.38894173,1.240120421,NA,-9999,4.459733338,1.000125638,2000-06-02
"23",161,12.1025962245654,12.2018187944392,3.67124833708942,3.74539079535511,5.01388795116483,5.20106723163097,161,2000,12.30020354,1.380302222,NA,-9999,6.241890331,1.006219414,2000-06-09
"24",168,13.3224267384194,13.4138061462274,3.95060353264755,4.02882210881837,5.35135485090735,5.54597912772123,168,2000,13.67236047,1.494106074,NA,-9999,5.947969201,1.003584711,2000-06-16
