"","day","mod_gpp","mod_gpp_unc95","mod_lai","mod_lai_unc95","mod_reco","mod_reco_unc95","doy","year","obs_gpp","obs_gpp_unc","obs_lai","obs_lai_unc","obs_reco","obs_reco_unc","date"
"19",133,7.43999017450674,7.59620212727992,2.83812487723879,2.917135746914,4.01285822996359,4.16691947567572,133,2015,7.969400301,1.363772495,4.54,0.92,5.291457759,1.000087993,2015-05-13
"20",140,9.55562423375086,9.66649078412845,3.97276725276542,4.06562532766699,4.47372907546166,4.66886943826401,140,2015,9.923524489,1.260537514,6.04,1.85,6.106184269,1.000164725,2015-05-20
"21",147,9.27090008068622,9.35422805517779,4.86971171320298,4.96180415662163,4.40236377860955,4.59665616013745,147,2015,10.0138251,1.180778334,4.63,0.94,6.394209357,1.000102695,2015-05-27
"22",154,10.679754984939,10.7603438696708,5.44923359636578,5.5472146068302,4.84100417607688,5.06296999719696,154,2015,10.41869712,1.101010403,NA,-9999,5.243798891,1.000011313,2015-06-03
"23",161,12.2890675071103,12.3811507296675,5.84608899166658,5.95769218302329,5.39080229934438,5.6552253248126,161,2015,12.79090853,1.270642312,2.67,0.87,5.577523536,1.000135375,2015-06-10
"24",168,12.4274670646369,12.5156980693467,6.18561873885587,6.30215366160659,5.43051815622534,5.69841604613711,168,2015,13.79773368,1.386824806,3.2,1.63,5.303708873,1.010744778,2015-06-17
"25",175,9.56435705663774,9.63189969302061,6.48183746626154,6.60624932716027,4.49000817665044,4.67798056743953,175,2015,NA,2.116306013,NA,-9999,NA,1.147121965,2015-06-24
"26",182,13.1841220215195,13.2737794267321,6.67067079682553,6.79604308158727,5.7573651888328,6.03489150566372,182,2015,NA,2.116306013,6.8,1.36,NA,1.147121965,2015-07-01
"27",189,11.9601412294693,12.0398653134986,6.80175443785792,6.91933015169086,5.67238103329982,5.90188271573539,189,2015,11.74397726,1.193429781,6.48,1.34,5.811933921,1.000213176,2015-07-08
"28",196,11.2785766735113,11.3646523970845,6.842306624951,6.94728847393736,5.135018160436,5.37169522024513,196,2015,11.8362835,1.348853074,4.77,0.96,4.331337083,1.000209953,2015-07-15
"29",203,11.0948224969934,11.2166437643386,6.78274298738818,6.88583485859404,5.36502633737041,5.57646523025092,203,2015,12.26202961,1.544658019,NA,-9999,4.681788413,1.000342068,2015-07-22
"30",210,11.483561564326,11.569467618823,6.64243126360634,6.75302386210008,5.19613328626971,5.42208170314532,210,2015,11.59359263,1.338967401,4.94,1.01,3.520472993,1.000174461,2015-07-29
"31",217,11.86756796226,11.9424308307673,6.43758244209435,6.55464430384374,5.41412946560731,5.65849644963489,217,2015,10.29961894,1.381694472,6.8,1.36,3.10688882,1.003461076,2015-08-05
"32",224,8.23170577767231,8.43009812593873,6.17101017148937,6.30939856355378,4.69161654413458,4.88053935649391,224,2015,8.259117594,1.246563273,6.52,1.34,2.956019969,1.000044319,2015-08-12
"33",231,6.52386784719506,6.6443103074519,5.79676274762942,5.95484935178817,3.98896960847517,4.13169344006461,231,2015,6.902698586,1.305226135,5.68,1.41,3.249597557,1.000096539,2015-08-19
"34",238,9.75950433174298,9.87386381186532,5.34950141228232,5.52538202951979,4.82294259045808,5.01827540883847,238,2015,8.223933386,1.359616893,5.78,1.25,3.544359219,1.00156094,2015-08-26
"35",245,8.7281776805828,8.83246659438151,4.90832244577031,5.086546306874,4.6673564664348,4.84946793183609,245,2015,8.612528954,1.461498975,6.18,1.76,3.569609919,1.000291221,2015-09-02
"36",252,7.05718164218477,7.19428005889013,4.42851938079144,4.59965149847334,3.89154523570675,4.03965154066792,252,2015,8.289110137,1.114947873,4.99,2.01,2.610976544,1.000054057,2015-09-09
"37",259,5.45781438318437,5.57075347821634,3.91781054749297,4.07168587249086,3.55541503115857,3.69327629292377,259,2015,6.535155647,1.223667304,2.08,0.82,3.207463317,1.00007001,2015-09-16
"38",266,4.94916626211933,5.04779805329388,3.40832751000728,3.52889812513104,3.35811617049504,3.48904060544189,266,2015,7.587379959,1.152993548,5.21,1.05,3.440608849,1.000011313,2015-09-23
"39",273,5.13621412815994,5.25649178854407,2.93109571502003,3.02468321701964,3.36183899169368,3.4978501676297,273,2015,6.814216439,1.375060003,3.03,2.11,2.574718681,1.000055632,2015-09-30
"40",280,4.35019204456128,4.4493615391725,2.49999750106085,2.58635501116909,3.20398003194069,3.33861716115816,280,2015,5.248510808,1.436878452,4.57,0.93,3.041478722,1.000265544,2015-10-07
"41",287,2.49472895714739,2.56341214117223,2.11605466379104,2.19398381241675,2.42305657083095,2.54634579444078,287,2015,2.364595447,1.258769032,4.69,1.07,2.438059225,1.000022625,2015-10-14
"42",294,1.01506433527823,1.05636140473944,1.76789261419241,1.84595187321986,2.05628284924992,2.19815485980489,294,2015,1.166067341,1.670894829,3.19,0.71,1.991535393,1.000033938,2015-10-21
"43",301,1.60456775569399,1.67139947996763,1.46773153370049,1.54205444697484,2.31086841174394,2.44684019004977,301,2015,1.559098886,1.279579955,0.3,0.25,3.053538681,1.000044319,2015-10-28
"44",308,1.65818784974531,1.74095409846741,1.23539023878395,1.31182793703235,2.4114673751101,2.54662664165817,308,2015,0.661396216,1.489630979,0.9,0.25,4.815086691,1.000168701,2015-11-04
"45",315,1.22049018307584,1.29187971643606,1.05408541582596,1.12532054323878,2.42106348748892,2.57741575481004,315,2015,0.422064387,1.53293376,0.77,0.25,4.419719856,1,2015-11-11
"46",322,0.634729895123669,0.675267986391809,0.909715871347547,0.97367848321823,2.09440906884495,2.24382259718226,322,2015,0.204940546,1.556267799,0.67,0.25,3.427923332,1.000011313,2015-11-18
"47",329,0.401451726436318,0.428752410817438,0.790747404896993,0.850623822864254,1.78667601883959,1.91255914636832,329,2015,0.33277211,1.387973772,NA,-9999,2.618448799,1,2015-11-25
"48",336,0.394150048673962,0.428442398894174,0.696600083832331,0.751875177462317,1.85289611515501,1.98206926953155,336,2015,0.344120398,1.365496038,NA,-9999,2.831134017,1.001371132,2015-12-02
"49",343,0.407639075370047,0.438811789221774,0.62498326193789,0.674793456883032,1.92808266208711,2.06193697171572,343,2015,0.358031874,1.555650546,NA,-9999,2.878118489,1.000085227,2015-12-09
"50",350,0.291669355741022,0.313920515631172,0.57019851624661,0.616642472561881,1.82196213830662,1.95165677331699,350,2015,0.335775798,1.54054516,NA,-9999,2.904798473,1.000011313,2015-12-16
