"","date","year","day","doy","mod_gpp_sim","mod_gpp_unc95_sim","mod_lai_sim","mod_lai_unc95_sim","mod_nee_sim","obs_gpp","obs_gpp_unc","obs_lai","obs_lai_unc","obs_nee","obs_nee_unc"
"11",2015-03-18,2015,77,77,0.0282962147698234,0.0341747381177994,0.0123029962261487,0.0148472295186273,-1.97596990006869,0.364469674,1.411126375,0.5,0.25,1.452206085,0.627150742
"12",2015-03-25,2015,84,84,0.0616685557330664,0.0741571157039583,0.0206261721722911,0.0243836638352383,-2.02615356635203,0.910954777,1.447240453,0.7,0.25,2.015321304,0.663779943
"13",2015-04-01,2015,91,91,0.100556743612316,0.118355675877823,0.0417095518184835,0.0484617363165733,-1.96992180449407,0.515094062,1.460254612,0.52,0.25,1.469545277,0.58
"14",2015-04-08,2015,98,98,0.33380461166114,0.382243324897526,0.0908977371118215,0.103570958414551,-1.75185822804779,0.73715997,1.354125931,0.66,0.25,1.303758428,0.666801516
"15",2015-04-15,2015,105,105,0.939784839730859,1.02498787268665,0.200462201487262,0.221038730991102,-1.69688875468736,1.765440907,1.358774115,0.95,0.25,1.841923679,0.652075653
"16",2015-04-22,2015,112,112,1.87965148651999,1.99544261757883,0.422067938850212,0.447576287970915,-0.814030723691149,NA,2.116306013,1.22,0.25,NA,0.911057024
"17",2015-04-29,2015,119,119,3.28650969187798,3.39289028821238,0.808195945384836,0.839322886003954,0.188558869065308,NA,2.116306013,1.3,0.26,NA,0.911057024
"18",2015-05-06,2015,126,126,5.41048161242287,5.50993480549731,1.37867604250165,1.41038499776898,1.772894343956,6.251290541,1.356420921,2.9,1.66,-0.98202307,0.706210229
"19",2015-05-13,2015,133,133,7.71968570487559,7.81795523466086,2.06195043351223,2.10539504030783,3.44242460786554,7.969400301,1.363772495,4.54,0.92,-2.438786432,0.622632598
"20",2015-05-20,2015,140,140,10.4580834457268,10.558490428408,2.70968247915067,2.76606484505116,5.75697766224195,9.923524489,1.260537514,6.04,1.85,-4.194836925,0.657533606
"21",2015-05-27,2015,147,147,9.97305894627659,10.0391687514042,3.23685101018758,3.29770121033758,5.37097989913066,10.0138251,1.180778334,4.63,0.94,-4.53084495,0.629470459
"22",2015-06-03,2015,154,154,11.6112949741408,11.6833059403871,3.63115751720045,3.69350886923138,6.54809375063345,10.41869712,1.101010403,NA,-9999,-5.363993794,0.58565463
"23",2015-06-10,2015,161,161,13.7001556222832,13.7820070809324,3.94848704716078,4.01083813251576,7.98536803448106,12.79090853,1.270642312,2.67,0.87,-7.059433138,0.644422283
"24",2015-06-17,2015,168,168,14.121651364271,14.1997900404126,4.25303545104053,4.32013635635696,8.31275802688483,13.79773368,1.386824806,3.2,1.63,-7.609030007,0.682885817
"25",2015-06-24,2015,175,175,10.674706978458,10.7395551606477,4.5471370694203,4.61884482510421,5.91813632959654,NA,2.116306013,NA,-9999,NA,0.911057024
"26",2015-07-01,2015,182,182,15.1529236459456,15.2265843791926,4.76701463318445,4.84332183284952,8.91531400989501,NA,2.116306013,6.8,1.36,NA,0.911057024
"27",2015-07-08,2015,189,189,14.1737204247849,14.2519599898897,4.97984435383642,5.05646847991633,7.70354554192085,11.74397726,1.193429781,6.48,1.34,-5.870523564,0.678651721
"28",2015-07-15,2015,196,196,13.3465118314651,13.4155533294519,5.13874015939918,5.22498715840927,7.6886400985638,11.8362835,1.348853074,4.77,0.96,-7.457642173,0.677226331
"29",2015-07-22,2015,203,203,14.0997738265833,14.1703644687788,5.2360691887152,5.32661912975611,7.78693162787525,12.26202961,1.544658019,NA,-9999,-7.29092485,0.731812054
"30",2015-07-29,2015,210,210,14.0952682610018,14.1798738198478,5.28538144289617,5.37798251060287,8.28007983589469,11.59359263,1.338967401,4.94,1.01,-7.650399462,0.661834165
"31",2015-08-05,2015,217,217,15.0173807568961,15.1028083811456,5.28199201051398,5.37660688418854,8.78570164873962,10.29961894,1.381694472,6.8,1.36,-7.082967066,0.697339653
"32",2015-08-12,2015,224,224,12.9924587914998,13.0630129088531,5.23867159842282,5.32988487981794,6.75702100205221,8.259117594,1.246563273,6.52,1.34,-5.054380233,0.601849895
"33",2015-08-19,2015,231,231,9.58677783919173,9.63212240557612,5.11313795564736,5.20912612052275,4.54794042708859,6.902698586,1.305226135,5.68,1.41,-3.531070243,0.626609497
"34",2015-08-26,2015,238,238,12.3860439355451,12.4604400257532,4.88275540891971,4.98323494302434,6.79390060258843,8.223933386,1.359616893,5.78,1.25,-4.641466936,0.67624448
"35",2015-09-02,2015,245,245,10.9426682639311,11.0599672723798,4.62736781059971,4.72745620678287,5.45903044822196,8.612528954,1.461498975,6.18,1.76,-4.902140423,0.717893393
"36",2015-09-09,2015,252,252,9.16125652790378,9.22779793289724,4.28781895384278,4.39085579058306,4.65264006287315,8.289110137,1.114947873,4.99,2.01,-5.751164622,0.606545395
"37",2015-09-16,2015,259,259,6.65005046710425,6.70926372502199,3.86632454549395,3.96283805446443,2.53130341274965,6.535155647,1.223667304,2.08,0.82,-3.550711333,0.614159114
"38",2015-09-23,2015,266,266,6.10048632621294,6.1651757514396,3.3709762048657,3.45746730458737,2.20612561447371,7.587379959,1.152993548,5.21,1.05,-4.140372458,0.58565463
"39",2015-09-30,2015,273,273,6.71860885946197,6.79874933684791,2.84679327489856,2.91278063376646,2.76399111421951,6.814216439,1.375060003,3.03,2.11,-3.779813889,0.607301113
"40",2015-10-07,2015,280,280,5.30943938395549,5.39508282230165,2.33721283663357,2.39394209050779,1.57323156296157,5.248510808,1.436878452,4.57,0.93,-2.160444877,0.701581311
"41",2015-10-14,2015,287,287,2.85841067001618,2.92646607306994,1.84157613110421,1.89484680913747,0.136673550081145,2.364595447,1.258769032,4.69,1.07,0.156457666,0.591255182
"42",2015-10-21,2015,294,294,0.978014545842012,1.01030810224765,1.3776132276087,1.43050701528532,-1.38512727319631,1.166067341,1.670894829,3.19,0.71,1.420104498,0.59680318
"43",2015-10-28,2015,301,301,1.35449590300576,1.41769032599677,0.977226632254191,1.02939800866077,-1.24752250902081,1.559098886,1.279579955,0.3,0.25,1.540707618,0.601849895
"44",2015-11-04,2015,308,308,1.16313835835189,1.24130718446837,0.676199468411227,0.724461449271587,-1.54414727325997,0.661396216,1.489630979,0.9,0.25,4.107251081,0.659315524
"45",2015-11-11,2015,315,315,0.648634560617281,0.709519788703264,0.457143828435876,0.501195361869719,-2.15705700833155,0.422064387,1.53293376,0.77,0.25,3.940171903,0.58
"46",2015-11-18,2015,322,322,0.249847825594899,0.279956421726363,0.301306073853339,0.338693002539725,-2.18004777195023,0.204940546,1.556267799,0.67,0.25,3.304671177,0.58565463
"47",2015-11-25,2015,329,329,0.135926031820926,0.154764634236371,0.195358916807109,0.223227601087493,-1.86107605671386,0.33277211,1.387973772,NA,-9999,2.25009052,0.58
"48",2015-12-02,2015,336,336,0.0875075189393373,0.102321442336497,0.126088447875554,0.147478326080158,-2.00746734004644,0.344120398,1.365496038,NA,-9999,2.516449835,0.588688341
"49",2015-12-09,2015,343,343,0.0662969282152647,0.0786195879035377,0.0829648298182957,0.0994831735055416,-2.14481406773719,0.358031874,1.555650546,NA,-9999,2.500684235,0.621327705
"50",2015-12-16,2015,350,350,0.0381699945359616,0.0464118084043986,0.0558577225553926,0.06773406762662,-2.03898586621896,0.335775798,1.54054516,NA,-9999,2.915070165,0.58565463
"51",2015-12-23,2015,357,357,0.014311845983299,0.0175915783704091,0.038892826286363,0.0478414237241961,-2.34333432667636,0.353828477,1.416483646,NA,-9999,3.479316129,0.58
