"","day","mod_gpp","mod_gpp_unc95","mod_gpp_unc50","doy","year","obs_gpp","obs_gpp_unc","date"
"31",217,13.0642346986836,13.1604804251401,13.0642346986836,217,2000,14.50615091,1.353213646,2000-08-04
"32",224,12.2873084059933,12.3816581079872,12.2873084059933,224,2000,NA,2.116306013,2000-08-11
"33",231,12.3595968898879,12.4495549469656,12.3595968898879,231,2000,11.68157994,1.204375413,2000-08-18
"34",238,11.5276817735617,11.6198183037682,11.5276817735617,238,2000,11.18875729,1.282175669,2000-08-25
"35",245,10.9602689548534,11.0590115483356,10.9602689548534,245,2000,NA,2.116306013,2000-09-01
"36",252,6.7283754187972,6.80318556936464,6.7283754187972,252,2000,7.397197391,1.245846731,2000-09-08
"37",259,8.43561793001359,8.52755715880052,8.43561793001359,259,2000,8.139266032,1.47899962,2000-09-15
"38",266,4.52863763599829,4.59854493832121,4.52863763599829,266,2000,5.060966861,1.319782341,2000-09-22
"39",273,5.91005788086061,5.99286352560273,5.91005788086061,273,2000,6.421773608,1.415379107,2000-09-29
"40",280,4.1855653142011,4.26040867749308,4.1855653142011,280,2000,4.205293261,1.49850938,2000-10-06
"41",287,2.43964188949132,2.49979498023875,2.43964188949132,287,2000,2.950088983,1.176040794,2000-10-13
"42",294,1.80644975537322,1.86691413693115,1.80644975537322,294,2000,2.159916574,1.347792703,2000-10-20
"43",301,1.49768107776633,1.57179770082092,1.49768107776633,301,2000,0.938299439,1.564313733,2000-10-27
"44",308,0.626062475782911,0.667360869511219,0.626062475782911,308,2000,0.222506706,1.628241008,2000-11-03
"45",315,0.472859330739883,0.514652945338391,0.472859330739883,315,2000,0.215645205,1.574373404,2000-11-10
"46",322,0.266544167674742,0.297301546888313,0.266544167674742,322,2000,0.182586393,1.486121999,2000-11-17
"47",329,0.157101923362324,0.177996771969539,0.157101923362324,329,2000,0.145024333,1.535389703,2000-11-24
"48",336,0.0995421746472967,0.116508345284696,0.0995421746472967,336,2000,0.175882959,1.577652636,2000-12-01
"49",343,0.0696830438767903,0.08256388836992,0.0696830438767903,343,2000,0.179171649,1.483586108,2000-12-08
"50",350,0.0321515835104667,0.0389575184921624,0.0321515835104667,350,2000,0.167649857,1.428850361,2000-12-15
"51",357,0.020069569783109,0.0247212574636446,0.020069569783109,357,2000,0.141473222,1.35892803,2000-12-22
"52",364,0.0189853272560549,0.0235869057206813,0.0189853272560549,366,2000,0.240407611,1.40820158,2000-12-29
"53",371,0.00925670210438738,0.0115686178653931,0.00925670210438738,7,2001,0.159480611,1.538339552,2001-01-05
"54",378,0.00861982865023975,0.0109538189409569,0.00861982865023975,14,2001,0.194504616,1.337843229,2001-01-12
"55",385,0.0105873415781895,0.0136966023533597,0.0105873415781895,21,2001,NA,2.116306013,2001-01-19
"56",392,0.00886466759643014,0.0116698287866826,0.00886466759643014,28,2001,0.153006026,1.438934514,2001-01-26
"57",399,0.00791883879352388,0.0105287627538654,0.00791883879352388,35,2001,0.09932997,1.492705453,2001-02-02
"58",406,0.0102199771647986,0.0138488550841972,0.0102199771647986,42,2001,0.184849585,1.45566319,2001-02-09
"59",413,0.0132794776468366,0.0179080960403155,0.0132794776468366,49,2001,0.205273386,1.596538139,2001-02-16
"60",420,0.00985624608431007,0.0133195468041361,0.00985624608431007,56,2001,0.22098401,1.391090414,2001-02-23
"61",427,0.0140790735721822,0.0187714703642733,0.0140790735721822,63,2001,0.221212241,1.597762332,2001-03-02
"62",434,0.0153109240137062,0.01990954489881,0.0153109240137062,70,2001,0.364091345,1.29962148,2001-03-09
"63",441,0.0164461025147182,0.0200276762863611,0.0164461025147182,77,2001,0.382698216,1.33103136,2001-03-16
"64",448,0.0388418926570105,0.0463099296159338,0.0388418926570105,84,2001,0.212755943,1.536895817,2001-03-23
"65",455,0.0927388171478496,0.108637359887139,0.0927388171478496,91,2001,0.051329697,1.514057034,2001-03-30
"66",462,0.269655199842485,0.306907985392542,0.269655199842485,98,2001,1.12352037,1.273329564,2001-04-06
"67",469,0.557694694410197,0.61136517210748,0.557694694410197,105,2001,0.969862661,1.594078182,2001-04-13
"68",476,0.928156979381304,0.987972973052682,0.928156979381304,112,2001,1.200670254,1.39189119,2001-04-20
"69",483,2.32595589937438,2.40962168436211,2.32595589937438,119,2001,2.143211427,1.34169944,2001-04-27
"70",490,4.33093975855336,4.41974892210968,4.33093975855336,126,2001,3.050672295,1.573031932,2001-05-04
"71",497,6.92220770724081,7.01226889151507,6.92220770724081,133,2001,6.706205174,1.436597618,2001-05-11
"72",504,8.37298972020481,8.44699365471046,8.37298972020481,140,2001,8.504870287,1.562869783,2001-05-18
"73",511,10.2029205749099,10.2809458458817,10.2029205749099,147,2001,10.10550036,1.299191788,2001-05-25
"74",518,9.77364911941665,9.82747050297543,9.77364911941665,154,2001,9.780763676,1.253287312,2001-06-01
"75",525,9.00299212605301,9.04704536914218,9.00299212605301,161,2001,10.20075963,1.433863572,2001-06-08
"76",532,12.7355297588224,12.8158151833159,12.7355297588224,168,2001,13.43983279,1.356534493,2001-06-15
"77",539,11.6224155134126,11.6773461999557,11.6224155134126,175,2001,12.13202315,1.343307451,2001-06-22
"78",546,13.8416236634066,13.9053021524572,13.8416236634066,182,2001,15.30185454,1.550049475,2001-06-29
"79",553,14.6048646491281,14.6763303054064,14.6048646491281,189,2001,14.73482091,1.266686399,2001-07-06
"80",560,12.1601384815365,12.2244707104795,12.1601384815365,196,2001,12.14842932,1.204829157,2001-07-13
"81",567,13.8290857735268,13.9148998576065,13.8290857735268,203,2001,13.65069619,1.409026905,2001-07-20
"82",574,13.3889525743127,13.4637338346764,13.3889525743127,210,2001,14.4514112,1.49297099,2001-07-27
"83",581,13.0812150146174,13.1554225015942,13.0812150146174,217,2001,12.75326728,1.418818394,2001-08-03
"84",588,10.8784096287652,10.9318608603332,10.8784096287652,224,2001,11.24770026,1.298411048,2001-08-10
"85",595,11.1179970379775,11.1886949207124,11.1179970379775,231,2001,11.10357556,1.371395773,2001-08-17
"86",602,8.74649255645281,8.89418508605758,8.74649255645281,238,2001,10.59015593,1.514643806,2001-08-24
"87",609,8.47428619760352,8.57924861614808,8.47428619760352,245,2001,10.15699851,1.313695663,2001-08-31
"88",616,5.60914299950197,5.65844118634487,5.60914299950197,252,2001,6.944013406,1.189099156,2001-09-07
"89",623,3.99087044447413,4.0415180785026,3.99087044447413,259,2001,5.648294187,1.131708997,2001-09-14
"90",630,5.32916802121102,5.39634119501852,5.32916802121102,266,2001,6.677971828,1.210981758,2001-09-21
"91",637,3.97377830173351,4.02945600737524,3.97377830173351,273,2001,4.759475336,1.443236054,2001-09-28
"92",644,3.19738405536245,3.25716382212625,3.19738405536245,280,2001,1.979104298,1.537223681,2001-10-05
"93",651,3.46047629620524,3.54365821553346,3.46047629620524,287,2001,0.825513598,1.487709279,2001-10-12
"94",658,2.16928281585646,2.24062474485735,2.16928281585646,294,2001,1.529059989,1.446310303,2001-10-19
"95",665,1.02790445547603,1.08003974719257,1.02790445547603,301,2001,1.668710266,1.29159193,2001-10-26
"96",672,0.860117281947754,0.919277930729939,0.860117281947754,308,2001,0.803147688,1.393317878,2001-11-02
"97",679,0.453219183408981,0.494060768571014,0.453219183408981,315,2001,0.523869497,1.249646417,2001-11-09
"98",686,0.286404222129952,0.319865681605876,0.286404222129952,322,2001,0.264918056,1.439909438,2001-11-16
"99",693,0.11637914188658,0.132555455702043,0.11637914188658,329,2001,0.052960489,1.394829502,2001-11-23
"100",700,0.0369409254110357,0.0430945019154895,0.0369409254110357,336,2001,0.174671648,1.232156269,2001-11-30
"101",707,0.0237798778602757,0.0283073980327053,0.0237798778602757,343,2001,0.098320249,1.638034665,2001-12-07
"102",714,0.0293348302228165,0.0355690939813862,0.0293348302228165,350,2001,0.09385127,1.389463849,2001-12-14
"103",721,0.0230398576136436,0.0281909736558106,0.0230398576136436,357,2001,0.078478134,1.361858944,2001-12-21
"104",728,0.0170659031350855,0.0213185560004445,0.0170659031350855,365,2001,0.149774445,1.456178169,2001-12-28
"105",735,0.017754400614373,0.0223769351576909,0.017754400614373,7,2002,NA,2.116306013,2002-01-04
"106",742,0.012777242756292,0.0162451340001428,0.012777242756292,14,2002,NA,2.116306013,2002-01-11
"107",749,0.00588851459474856,0.0075902927065287,0.00588851459474856,21,2002,NA,2.116306013,2002-01-18
"108",756,0.00788480033360413,0.0103267276961924,0.00788480033360413,28,2002,0.153700837,1.517606438,2002-01-25
"109",763,0.0139238884585623,0.0184615611549723,0.0139238884585623,35,2002,0.220853986,1.578572569,2002-02-01
"110",770,0.00569506438777029,0.00763870498039119,0.00569506438777029,42,2002,0.163814936,1.58629332,2002-02-08
"111",777,0.0128962250286854,0.0174824363251259,0.0128962250286854,49,2002,0.209872652,1.5436301,2002-02-15
"112",784,0.00910570763690229,0.0122712154261252,0.00910570763690229,56,2002,0.176760595,1.348482464,2002-02-22
"113",791,0.0119489720260771,0.0159445067163202,0.0119489720260771,63,2002,0.200157711,1.664836036,2002-03-01
"114",798,0.0209143140281239,0.0272209581764142,0.0209143140281239,70,2002,0.249651456,1.575207953,2002-03-08
"115",805,0.0250317045205576,0.0302428088405235,0.0250317045205576,77,2002,0.34316643,1.402548194,2002-03-15
"116",812,0.0321227675556419,0.0380494311798692,0.0321227675556419,84,2002,0.351276863,1.602804206,2002-03-22
"117",819,0.13953578361761,0.163067272803987,0.13953578361761,91,2002,0.911301343,1.593212532,2002-03-29
"118",826,0.34731178816916,0.396775527269364,0.34731178816916,98,2002,1.181212617,1.65027874,2002-04-05
"119",833,0.437456907672209,0.482101141054259,0.437456907672209,105,2002,0.925779809,1.427763974,2002-04-12
"120",840,1.21761009549651,1.29015712253509,1.21761009549651,112,2002,1.798970096,1.530836482,2002-04-19
"121",847,2.05294943290754,2.12022336932282,2.05294943290754,119,2002,1.889743772,1.62416027,2002-04-26
"122",854,2.61006814623532,2.65969376110975,2.61006814623532,126,2002,2.936611724,1.285056761,2002-05-03
"123",861,5.99015233382042,6.06138848892307,5.99015233382042,133,2002,6.800601405,1.422836585,2002-05-10
"124",868,8.26797439502315,8.34388322818863,8.26797439502315,140,2002,9.230493394,1.252510883,2002-05-17
"125",875,8.69198715115209,8.75737228457399,8.69198715115209,147,2002,9.572327273,1.487895349,2002-05-24
"126",882,11.8305298704514,11.9069586144916,11.8305298704514,154,2002,11.76980544,1.582938859,2002-05-31
"127",889,8.87230558664736,8.93145139723046,8.87230558664736,161,2002,10.55804703,1.187186221,2002-06-07
"128",896,10.4744011378289,10.55470800126,10.4744011378289,168,2002,12.86571265,1.590780655,2002-06-14
"129",903,11.5021363530479,11.5512726998438,11.5021363530479,175,2002,13.5863658,1.383537121,2002-06-21
"130",910,13.772591483519,13.8364656897897,13.772591483519,182,2002,13.92698506,1.172989602,2002-06-28
"131",917,11.9898349662869,12.0440437385077,11.9898349662869,189,2002,13.04151704,1.14527294,2002-07-05
"132",924,11.9117990159951,11.9594633198417,11.9117990159951,196,2002,13.40923427,1.454406511,2002-07-12
"133",931,9.3799727708737,9.42235335735088,9.3799727708737,203,2002,9.017389248,1.28205658,2002-07-19
"134",938,11.8803903813172,11.939686057481,11.8803903813172,210,2002,11.76457734,1.426468356,2002-07-26
"135",945,12.0035010961407,12.0539336556234,12.0035010961407,217,2002,13.05059777,1.339861036,2002-08-02
"136",952,8.75526709154235,8.79952861579633,8.75526709154235,224,2002,13.11984194,1.433960598,2002-08-09
"137",959,11.9536012726589,12.0053622972988,11.9536012726589,231,2002,12.69383936,1.486018082,2002-08-16
"138",966,11.2504590253525,11.3084818023076,11.2504590253525,238,2002,13.61589842,1.456162858,2002-08-23
"139",973,10.4170367356404,10.48958557624,10.4170367356404,245,2002,12.63322774,1.692249025,2002-08-30
"140",980,10.4088731491036,10.4906045953901,10.4088731491036,252,2002,12.23541412,1.484184926,2002-09-06
"141",987,7.32259806360608,7.39844796968588,7.32259806360608,259,2002,8.821919874,1.490579591,2002-09-13
"142",994,4.40691939012874,4.46606378271452,4.40691939012874,266,2002,6.772053602,1.299519813,2002-09-20
"143",1001,5.14327379637309,5.20393818617173,5.14327379637309,273,2002,6.00897455,1.404357349,2002-09-27
"144",1008,3.44140001219198,3.50063448586307,3.44140001219198,280,2002,4.90393103,1.197349736,2002-10-04
"145",1015,2.09640691676108,2.14193471167648,2.09640691676108,287,2002,3.04381726,1.442279386,2002-10-11
"146",1022,1.42781466863169,1.47748200927529,1.42781466863169,294,2002,1.944689134,1.35062735,2002-10-18
"147",1029,0.865719942420221,0.904811384699729,0.865719942420221,301,2002,0.765556495,1.43454185,2002-10-25
"148",1036,0.505007643926871,0.538386687500929,0.505007643926871,308,2002,0.233808092,1.591603778,2002-11-01
"149",1043,0.513036849969872,0.558721474900055,0.513036849969872,315,2002,0.140820852,1.500480362,2002-11-08
"150",1050,0.242589195645355,0.271474700942061,0.242589195645355,322,2002,0.172042902,1.585096597,2002-11-15
"151",1057,0.115621693777009,0.131630907310379,0.115621693777009,329,2002,0.103520944,1.403587261,2002-11-22
"152",1064,0.0468974289857151,0.0547252016487923,0.0468974289857151,336,2002,0.136195969,1.515888662,2002-11-29
"153",1071,0.0217856813628519,0.0260131543159771,0.0217856813628519,343,2002,0.177503646,1.454053364,2002-12-06
"154",1078,0.0188257994888635,0.0227754415297312,0.0188257994888635,350,2002,NA,2.116306013,2002-12-13
"155",1085,0.018375237412827,0.0225665228898722,0.018375237412827,357,2002,0.067101347,1.15122048,2002-12-20
"156",1092,0.0136146017916836,0.0169950257811182,0.0136146017916836,365,2002,0.139929194,1.426622928,2002-12-27
"157",1099,0.0136865420674409,0.0172232342470294,0.0136865420674409,7,2003,0.1008798,1.454717599,2003-01-03
"158",1106,0.00841297433467312,0.0109548794673827,0.00841297433467312,14,2003,0.192883166,1.273329564,2003-01-10
"159",1113,0.00949752725449495,0.0122565255618827,0.00949752725449495,21,2003,0.136375568,1.523407038,2003-01-17
