"","day","mod_gpp","mod_gpp_unc95","mod_lai","mod_lai_unc95","mod_nee","mod_nee_unc95","doy","year","obs_gpp","obs_gpp_unc","obs_lai","obs_lai_unc","obs_nee","obs_nee_unc","date"
"1",7,0,0.143250085828491,0.223069116154037,0.325526940449733,1.66121183039598,1.79515987266122,7,2000,0.061201955,1.572188903,NA,-9999,1.378513046,0.58565463,2000-01-07
"2",14,0,0,0.174570128494066,0.253479858173527,1.54845335494249,1.67941826285628,14,2000,0.069064902,1.621375722,NA,-9999,1.262389893,0.657248204,2000-01-14
"3",21,0,0,0.141833415935052,0.206286997678114,1.58465941650527,1.7114376021823,21,2000,0.127633315,1.395783813,NA,-9999,1.125727927,0.592850996,2000-01-21
"4",28,0,0,0.119706634727623,0.174134734653417,1.37455135752507,1.53305624659711,28,2000,0.135436801,1.559048699,NA,-9999,1.00724021,0.778858225,2000-01-28
"5",35,0.016749260877498,0.0985050138561849,0.103297883397034,0.151228789684173,1.74524962832326,1.87431477851273,35,2000,0.21645225,1.50974594,NA,-9999,1.148506302,0.622933858,2000-02-04
"6",42,0.136084405002099,0.198793139641139,0.0926283100537877,0.135272027285566,1.71233015509156,1.83876930485839,42,2000,0.23129387,1.516380249,NA,-9999,1.362698393,0.642794987,2000-02-11
"7",49,0,0.0478784060099049,0.0859783437996103,0.127016094408668,1.59742915498871,1.72448258179816,49,2000,0.163994886,1.536034001,NA,-9999,1.163440646,0.58565463,2000-02-18
"8",56,0,0.0567959272301981,0.0798062358477048,0.119043936120499,1.59913446751417,1.72645198852829,56,2000,0.186513078,1.527202886,NA,-9999,1.231504004,0.610227219,2000-02-25
"9",63,0.158484765067228,0.234192793578574,0.0754280907121721,0.111856834542766,1.61203441614645,1.74689615051525,63,2000,0.230059067,1.593706834,NA,-9999,1.262676568,0.647013587,2000-03-03
"10",70,0.141899141090023,0.210589549345286,0.07452371131494,0.110753230038301,1.59827410474351,1.72946679283531,70,2000,0.150321341,1.61628188,NA,-9999,1.206933425,0.619502028,2000-03-10
"11",77,0.130889382884963,0.193403241805321,0.0761164124155257,0.111603893068281,1.62784221307464,1.75490842733355,77,2000,0.205401665,1.388414213,NA,-9999,1.411273174,0.607301113,2000-03-17
"12",84,0.257775738863502,0.361349215263453,0.0833037636217836,0.117097807380957,1.64769641962054,1.77916216827145,84,2000,0.265760904,1.661419063,NA,-9999,1.78312851,0.646886975,2000-03-24
"13",91,0.154860850790505,0.200545678935305,0.103422807772714,0.133917071432736,1.63394711188048,1.75435301212861,91,2000,0.314372403,1.446061264,NA,-9999,1.762328555,0.592850996,2000-03-31
"14",98,0.556318205108799,0.660753233440589,0.147200507506902,0.176430947011153,1.39735429672287,1.5387517937488,98,2000,1.170819427,1.363932958,NA,-9999,1.304620182,0.66448997,2000-04-07
"15",105,0.852645621658976,0.950809906305559,0.247985774386393,0.278535351660811,1.1266207813203,1.25397892066938,105,2000,1.4013208,1.364591354,NA,-9999,1.426807259,0.634684492,2000-04-14
"16",112,1.63539011002859,1.74848157886758,0.448802199573023,0.482012721925589,0.814546379910957,0.9408840763747,112,2000,1.722529073,1.573777319,NA,-9999,2.195719479,0.724028434,2000-04-21
"17",119,3.07129607310035,3.19417195815364,0.800994798438481,0.836958201160202,-0.0637103871614815,0.110106331056233,119,2000,4.071620639,1.631709582,NA,-9999,2.063105312,0.749082486,2000-04-28
"18",126,5.22080895792169,5.34100708058,1.32310056903217,1.36257303511843,-1.74381151420692,-1.59132286130849,126,2000,5.560846446,1.394829502,NA,-9999,0.976565498,0.645097548,2000-05-05
"19",133,7.2404958562667,7.36337930801627,1.95233481617216,2.00405481217026,-3.19937206590718,-3.02923527047735,133,2000,9.025321584,1.585930842,NA,-9999,-3.402574412,0.782416399,2000-05-12
"20",140,8.6157739110378,8.71499464220744,2.54961718972999,2.61597105764711,-4.39515236399476,-4.25996218892187,140,2000,10.19902356,1.547856925,NA,-9999,-4.90413113,0.746608656,2000-05-19
"21",147,9.20217931974921,9.30164787737968,3.02413335334016,3.09003979000753,-5.12800252050585,-4.98454719280138,147,2000,10.45389194,1.285056761,NA,-9999,-6.006694648,0.612703833,2000-05-26
"22",154,11.2454247035892,11.3534786193402,3.3757596856033,3.45037427101839,-6.64898397748843,-6.48068584304301,154,2000,12.38894173,1.240120421,NA,-9999,-7.563324836,0.640004734,2000-06-02
"23",161,12.1025962245654,12.2018187944392,3.67124833708942,3.74539079535511,-7.07897123490118,-6.89405160240505,161,2000,12.30020354,1.380302222,NA,-9999,-6.116741254,0.676218729,2000-06-09
"24",168,13.3224267384194,13.4138061462274,3.95060353264755,4.02882210881837,-7.9696877440932,-7.77387058613623,168,2000,13.67236047,1.494106074,NA,-9999,-8.138561107,0.747376294,2000-06-16
"25",175,12.3563651918782,12.4469703720153,4.21970233434347,4.30639671416501,-7.00203842105969,-6.79494548113879,175,2000,14.67410299,1.325728985,NA,-9999,-8.233667834,0.687310424,2000-06-23
"26",182,12.548533267087,12.6390524536373,4.45075778162976,4.54400498212383,-7.74101067961137,-7.52625873335785,182,2000,13.72923804,1.195804497,NA,-9999,-9.042090675,0.611954787,2000-06-30
"27",189,10.552900937008,10.6227411518241,4.64041477609511,4.73972710996074,-5.90241761390327,-5.7392291370941,189,2000,10.63272737,1.344683199,NA,-9999,-5.934682756,0.696592632,2000-07-07
"28",196,9.75673202526448,9.82871971914186,4.75756378385106,4.86113069942054,-5.51730590513688,-5.35595027403437,196,2000,10.11717676,1.210981758,NA,-9999,-6.301644183,0.637464679,2000-07-14
"29",203,10.6733498438097,10.7489920271641,4.81247760507462,4.91997430601515,-6.19431302951662,-6.01421046842244,203,2000,11.07876375,1.176040794,NA,-9999,-7.554958251,0.58565463,2000-07-21
"30",210,10.7257956239566,10.7965524645484,4.82887722202494,4.93742504751756,-6.04434290698376,-5.88212872498676,210,2000,11.50561588,1.3437041,NA,-9999,-6.827348612,0.64262043,2000-07-28
"31",217,13.0642346986836,13.1604804251401,4.80155583047838,4.90612715496828,-7.77906187861869,-7.58038669257883,217,2000,14.50615091,1.353213646,NA,-9999,-8.690304093,0.712894461,2000-08-04
"32",224,12.2873084059933,12.3816581079872,4.75238601642908,4.85812795698695,-7.13093133514519,-6.94167943273508,224,2000,NA,2.116306013,NA,-9999,NA,0.911057024,2000-08-11
"33",231,12.3595968898879,12.4495549469656,4.64314304214756,4.75060556097343,-6.94905537339282,-6.73244511938629,231,2000,11.68157994,1.204375413,NA,-9999,-6.592326439,0.630014997,2000-08-18
"34",238,11.5276817735617,11.6198183037682,4.48024224314195,4.59162450804482,-6.52877767461183,-6.35176529138413,238,2000,11.18875729,1.282175669,NA,-9999,-6.818217549,0.673562554,2000-08-25
"35",245,10.9602689548534,11.0590115483356,4.24746059419923,4.35810176931931,-6.14227922185996,-5.97404627135674,245,2000,NA,2.116306013,NA,-9999,NA,0.911057024,2000-09-01
"36",252,6.7283754187972,6.80318556936464,3.94477651780748,4.05666926859406,-3.05630824039082,-2.94092268642643,252,2000,7.397197391,1.245846731,NA,-9999,-3.803078823,0.615266031,2000-09-08
"37",259,8.43561793001359,8.52755715880052,3.53952168305423,3.64163609277779,-4.06434038454164,-3.85669199661413,259,2000,8.139266032,1.47899962,NA,-9999,-3.89464783,0.735580179,2000-09-15
"38",266,4.52863763599829,4.59854493832121,3.11165627142789,3.20588102177713,-1.3896389676401,-1.26899806595616,266,2000,5.060966861,1.319782341,NA,-9999,-1.738589985,0.63704172,2000-09-22
"39",273,5.91005788086061,5.99286352560273,2.61414832219122,2.69309285167065,-2.32047370157044,-2.14113599594955,273,2000,6.421773608,1.415379107,NA,-9999,-2.858620297,0.699233506,2000-09-29
"40",280,4.1855653142011,4.26040867749308,2.14261949794939,2.20761397202904,-0.997843212249762,-0.807036312032303,280,2000,4.205293261,1.49850938,NA,-9999,-0.535141231,0.7244424,2000-10-06
"41",287,2.43964188949132,2.49979498023875,1.68096264960758,1.73392988355625,0.10824349050344,0.245995175357679,287,2000,2.950088983,1.176040794,NA,-9999,-0.179019026,0.59680318,2000-10-13
"42",294,1.80644975537322,1.86691413693115,1.25529764769156,1.3041811043155,0.759933543094907,0.922264134747001,294,2000,2.159916574,1.347792703,NA,-9999,1.672505708,0.647722091,2000-10-20
"43",301,1.49768107776633,1.57179770082092,0.901254212658343,0.950215219974236,0.978015799475116,1.13533648338589,301,2000,0.938299439,1.564313733,NA,-9999,2.767470746,0.606545395,2000-10-27
"44",308,0.626062475782911,0.667360869511219,0.627389756681533,0.670937268372474,1.55041863373815,1.70295287740111,308,2000,0.222506706,1.628241008,NA,-9999,2.864362145,0.58565463,2000-11-03
"45",315,0.472859330739883,0.514652945338391,0.419104206728279,0.456232298497883,1.5137512019003,1.64852707080977,315,2000,0.215645205,1.574373404,NA,-9999,2.239757156,0.588688341,2000-11-10
"46",322,0.266544167674742,0.297301546888313,0.274847155261832,0.306391612535383,1.70221624997291,1.83405558619838,322,2000,0.182586393,1.486121999,NA,-9999,2.397826615,0.58565463,2000-11-17
"47",329,0.157101923362324,0.177996771969539,0.178071422255805,0.202556978871222,1.73642146704556,1.86698747521482,329,2000,0.145024333,1.535389703,NA,-9999,2.015276128,0.58565463,2000-11-24
"48",336,0.0995421746472967,0.116508345284696,0.115295799022169,0.135236042934956,1.82946651416713,1.96069412460093,336,2000,0.175882959,1.577652636,NA,-9999,2.076863363,0.631976765,2000-12-01
"49",343,0.0696830438767903,0.08256388836992,0.0760333201382042,0.090831815071943,1.8992584088091,2.02646279905696,343,2000,0.179171649,1.483586108,NA,-9999,2.230884216,0.591255182,2000-12-08
"50",350,0.0321515835104667,0.0389575184921624,0.0514101894279623,0.0622316299309971,1.93860217729742,2.06126461084478,350,2000,0.167649857,1.428850361,NA,-9999,1.746346105,0.58,2000-12-15
"51",357,0.020069569783109,0.0247212574636446,0.0357456570713953,0.0440835436528006,1.47686195397144,1.62036760283692,357,2000,0.141473222,1.35892803,NA,-9999,2.367574823,0.607301113,2000-12-22
"52",364,0.0189853272560549,0.0235869057206813,0.0256761769519882,0.031841443137263,1.54197259969341,1.67427123085468,366,2000,0.240407611,1.40820158,NA,-9999,1.829335817,0.591255182,2000-12-29
"53",371,0.00925670210438738,0.0115686178653931,0.0181552204605615,0.0227091775171176,1.76969917941227,1.89115010022786,7,2001,0.159480611,1.538339552,NA,-9999,0.779344709,0.591255182,2001-01-05
"54",378,0.00861982865023975,0.0109538189409569,0.0141559736622135,0.0180785816462887,1.50578171743022,1.64576698601549,14,2001,0.194504616,1.337843229,NA,-9999,0.317478038,0.648928386,2001-01-12
"55",385,0.0105873415781895,0.0136966023533597,0.0115740406084578,0.015015298092776,1.43381323639228,1.58514066907966,21,2001,NA,2.116306013,NA,-9999,0.75279744,0.702757867,2001-01-19
"56",392,0.00886466759643014,0.0116698287866826,0.0097975144608604,0.012922938923779,1.72618371989891,1.85409547546194,28,2001,0.153006026,1.438934514,NA,-9999,0.982495891,0.665859391,2001-01-26
"57",399,0.00791883879352388,0.0105287627538654,0.0086067363554554,0.0114453026431095,1.51355375452553,1.65647925122567,35,2001,0.09932997,1.492705453,NA,-9999,1.405068073,0.701313835,2001-02-02
"58",406,0.0102199771647986,0.0138488550841972,0.00777348152725834,0.0105434599646406,1.89972910654721,2.02576481023347,42,2001,0.184849585,1.45566319,NA,-9999,1.512092778,0.606545395,2001-02-09
"59",413,0.0132794776468366,0.0179080960403155,0.00726099547249366,0.0097749757651404,1.77946511858053,1.89973841804143,49,2001,0.205273386,1.596538139,NA,-9999,1.513606877,0.624799254,2001-02-16
